datetime,Minutes_Asleep
2019-11-12,431
2019-11-13,279
2019-11-14,422
2019-11-15,446
2019-11-16,397
2019-11-17,473
2019-11-18,385
2019-11-19,358
2019-11-20,439
2019-11-21,385
2019-11-22,378
2019-11-23,396
2019-11-24,375
2019-11-25,426
2019-11-26,371
2019-11-27,360
2019-11-28,417
2019-11-29,410
2019-11-30,496
2019-12-09,54
2019-12-10,345
2019-12-11,343
2019-12-11,63
2019-12-12,417
2019-12-13,413
2019-12-14,282
2019-12-15,340
2019-12-15,123
2019-12-18,618
2019-12-19,492
2019-12-19,49
2019-12-20,362
2019-12-21,467
2019-12-22,511
2019-12-23,483
2019-12-27,474
2019-12-28,323
2019-12-29,610
2020-01-02,412
2020-01-03,391
2020-01-05,447
2020-01-06,358
2020-01-06,110
2020-01-07,411
2020-01-08,421
2020-01-09,356
2020-01-10,405
2020-01-11,432
2020-01-25,448
2020-01-26,455
2020-01-27,373
2020-01-28,441
2020-01-29,480
2020-01-30,452
2020-03-21,360
