datetime,Minutes_Asleep
2019-11-01,291
2019-11-03,373
2019-11-04,304
2019-11-05,383
2019-11-06,479
2019-11-07,334
2019-11-08,691
2019-11-09,463
2019-11-11,679
2019-11-12,236
2019-11-13,504
2019-11-14,346
2019-11-15,518
2019-11-16,550
2019-11-17,524
2019-11-18,442
2019-11-19,539
2019-11-20,301
2019-11-21,450
2019-11-22,470
2019-11-23,493
2019-11-24,460
2019-11-25,315
2019-11-26,414
2019-11-27,507
2019-11-28,380
2019-11-29,490
2019-11-30,394
2019-12-02,386
2019-12-03,318
2019-12-04,363
2019-12-05,589
2019-12-06,240
2019-12-07,671
2019-12-08,481
2019-12-09,424
2019-12-10,636
2019-12-11,408
2019-12-12,532
2019-12-13,353
2019-12-14,319
2019-12-15,507
2019-12-16,557
2019-12-17,353
2019-12-18,263
2019-12-19,489
2019-12-20,318
2019-12-21,321
2019-12-22,350
2019-12-23,325
2019-12-24,823
2019-12-25,376
2019-12-26,635
2019-12-27,461
2019-12-28,606
2019-12-29,475
2019-12-30,683
2020-01-01,380
2020-01-03,413
2020-01-04,275
2020-01-05,484
2020-01-06,477
2020-01-07,346
2020-01-08,455
2020-01-09,348
2020-01-10,469
2020-01-11,352
2020-01-12,343
2020-01-13,698
2020-01-14,380
2020-01-15,351
2020-01-16,466
2020-01-17,316
2020-01-18,502
2020-01-19,236
2020-01-20,673
2020-01-21,205
2020-01-24,277
2020-01-25,431
2020-01-26,391
2020-01-27,369
2020-01-28,645
2020-01-29,471
2020-01-30,232
2020-01-31,482
2020-02-01,346
2020-02-02,387
2020-02-03,407
2020-02-04,407
2020-02-05,312
2020-02-06,250
2020-02-07,391
2020-02-09,349
2020-02-10,288
2020-02-11,294
2020-02-12,525
2020-02-13,318
2020-02-14,341
2020-02-15,319
2020-02-16,423
2020-02-17,604
2020-02-18,415
2020-02-21,457
2020-02-23,302
2020-02-24,347
2020-02-25,408
2020-02-26,380
2020-02-27,581
2020-02-29,354
2020-03-01,430
2020-03-02,400
2020-03-03,313
2020-03-04,470
2020-03-05,436
2020-03-06,404
2020-03-07,516
2020-03-08,384
2020-03-09,496
2020-03-11,520
2020-03-12,429
2020-03-13,362
2020-03-13,132
2020-03-16,552
2020-03-17,400
2020-03-19,488
2020-03-20,511
2020-03-21,408
2020-03-22,641
2020-03-23,534
2020-03-24,180
2020-03-25,422
2020-03-26,500
2020-03-27,442
2020-03-28,106
2020-03-29,464
2020-03-30,534
2020-03-31,330
