datetime,hour,day,month,predictions,Participant_ID
2020-04-01,0,1,4,381.0,p09
2020-04-02,0,2,4,848.0,p09
2020-04-03,0,3,4,855.0,p09
2020-04-04,0,4,4,317.0,p09
2020-04-05,0,5,4,187.0,p09
2020-04-06,0,6,4,196.0,p09
2020-04-07,0,7,4,473.0,p09
2020-04-08,0,8,4,718.0,p09
2020-04-09,0,9,4,412.0,p09
2020-04-10,0,10,4,486.0,p09
2020-04-11,0,11,4,294.0,p09
2020-04-12,0,12,4,329.0,p09
2020-04-13,0,13,4,296.0,p09
2020-04-14,0,14,4,354.0,p09
2020-04-15,0,15,4,524.0,p09
2020-04-16,0,16,4,443.0,p09
2020-04-17,0,17,4,340.0,p09
2020-04-18,0,18,4,342.0,p09
2020-04-19,0,19,4,773.0,p09
2020-04-20,0,20,4,407.0,p09
2020-04-21,0,21,4,407.0,p09
2020-04-22,0,22,4,790.0,p09
2020-04-23,0,23,4,835.0,p09
2020-04-24,0,24,4,263.0,p09
2020-04-25,0,25,4,264.0,p09
2020-04-26,0,26,4,124.0,p09
2020-04-27,0,27,4,133.0,p09
2020-04-28,0,28,4,216.0,p09
2020-04-29,0,29,4,352.0,p09
2020-04-30,0,30,4,367.0,p09
2020-05-01,0,1,5,381.0,p09
2020-05-02,0,2,5,848.0,p09
2020-05-03,0,3,5,855.0,p09
2020-05-04,0,4,5,317.0,p09
2020-05-05,0,5,5,187.0,p09
2020-05-06,0,6,5,196.0,p09
2020-05-07,0,7,5,473.0,p09
2020-05-08,0,8,5,718.0,p09
2020-05-09,0,9,5,412.0,p09
2020-05-10,0,10,5,486.0,p09
2020-05-11,0,11,5,294.0,p09
2020-05-12,0,12,5,329.0,p09
2020-05-13,0,13,5,296.0,p09
2020-05-14,0,14,5,354.0,p09
2020-05-15,0,15,5,524.0,p09
2020-05-16,0,16,5,443.0,p09
2020-05-17,0,17,5,340.0,p09
2020-05-18,0,18,5,342.0,p09
2020-05-19,0,19,5,773.0,p09
2020-05-20,0,20,5,407.0,p09
2020-05-21,0,21,5,407.0,p09
2020-05-22,0,22,5,790.0,p09
2020-05-23,0,23,5,835.0,p09
2020-05-24,0,24,5,263.0,p09
2020-05-25,0,25,5,264.0,p09
2020-05-26,0,26,5,124.0,p09
2020-05-27,0,27,5,133.0,p09
2020-05-28,0,28,5,216.0,p09
2020-05-29,0,29,5,352.0,p09
2020-05-30,0,30,5,367.0,p09
2020-05-31,0,31,5,367.0,p09
2020-06-01,0,1,6,381.0,p09
2020-06-02,0,2,6,848.0,p09
2020-06-03,0,3,6,855.0,p09
2020-06-04,0,4,6,317.0,p09
2020-06-05,0,5,6,187.0,p09
2020-06-06,0,6,6,196.0,p09
2020-06-07,0,7,6,473.0,p09
2020-06-08,0,8,6,718.0,p09
2020-06-09,0,9,6,412.0,p09
2020-06-10,0,10,6,486.0,p09
2020-06-11,0,11,6,294.0,p09
2020-06-12,0,12,6,329.0,p09
2020-06-13,0,13,6,296.0,p09
2020-06-14,0,14,6,354.0,p09
2020-06-15,0,15,6,524.0,p09
2020-06-16,0,16,6,443.0,p09
2020-06-17,0,17,6,340.0,p09
2020-06-18,0,18,6,342.0,p09
2020-06-19,0,19,6,773.0,p09
2020-06-20,0,20,6,407.0,p09
2020-06-21,0,21,6,407.0,p09
2020-06-22,0,22,6,790.0,p09
2020-06-23,0,23,6,835.0,p09
2020-06-24,0,24,6,263.0,p09
2020-06-25,0,25,6,264.0,p09
2020-06-26,0,26,6,124.0,p09
2020-06-27,0,27,6,133.0,p09
2020-06-28,0,28,6,216.0,p09
2020-06-29,0,29,6,352.0,p09
2020-06-30,0,30,6,367.0,p09
2020-07-01,0,1,7,381.0,p09
2020-07-02,0,2,7,848.0,p09
2020-07-03,0,3,7,855.0,p09
2020-07-04,0,4,7,317.0,p09
2020-07-05,0,5,7,187.0,p09
2020-07-06,0,6,7,196.0,p09
2020-07-07,0,7,7,473.0,p09
