datetime,Minutes_Asleep
2019-11-08,512
2019-11-09,465
2019-11-10,466
2019-11-11,457
2019-11-12,426
2019-11-13,412
2019-11-14,437
2019-11-15,360
2019-11-16,516
2019-11-17,456
2019-11-18,396
2019-11-19,505
2019-11-20,319
2019-11-21,497
2019-11-22,392
2019-11-23,417
2019-11-24,553
2019-11-25,354
2019-11-26,403
2019-11-27,428
2019-11-28,414
2019-11-29,456
2019-11-30,620
2019-12-02,437
2019-12-03,411
2019-12-04,387
2019-12-05,498
2019-12-06,413
2019-12-07,617
2019-12-08,454
2019-12-09,362
2019-12-10,469
2019-12-11,431
2019-12-12,452
2019-12-13,483
2019-12-14,497
2019-12-15,479
2019-12-16,631
2019-12-17,465
2019-12-18,431
2019-12-19,438
2019-12-20,464
2019-12-20,49
2019-12-21,452
2019-12-22,471
2019-12-24,534
2019-12-27,460
2019-12-28,460
2019-12-29,446
2019-12-30,561
2019-12-31,589
2020-01-01,642
2020-01-02,530
2020-01-07,386
2020-01-08,383
2020-01-09,448
2020-01-11,452
2020-01-13,410
2020-01-14,492
2020-01-15,419
2020-01-16,423
2020-01-17,460
2020-01-18,412
2020-01-18,77
2020-01-19,467
2020-01-21,434
2020-01-22,462
2020-01-23,419
2020-01-24,429
2020-01-25,480
2020-01-26,428
2020-01-27,406
2020-01-28,356
2020-01-29,396
2020-01-30,443
2020-01-31,369
2020-02-01,486
2020-02-02,497
2020-02-03,336
2020-02-04,486
2020-02-05,441
2020-02-06,438
2020-02-07,481
2020-02-08,403
2020-02-09,453
2020-02-10,375
2020-02-11,378
2020-02-13,427
2020-02-14,293
2020-02-16,537
2020-02-17,425
2020-02-18,505
2020-02-19,463
2020-02-20,493
2020-02-21,319
2020-02-22,487
2020-02-24,326
2020-02-25,453
2020-02-26,443
2020-02-27,448
2020-02-28,477
