datetime,Resting_beats_per_min
2019-11-01, 0.0
2019-11-02, 47.23106288909912
2019-11-03, 49.921600341796875
2019-11-04, 50.76784896850586
2019-11-05, 50.70145034790039
2019-11-06, 49.689300537109375
2019-11-07, 48.1356897354126
2019-11-08, 49.119004249572754
2019-11-09, 48.751461029052734
2019-11-10, 49.140607833862305
2019-11-11, 48.44235897064209
2019-11-12, 49.366766929626465
2019-11-13, 49.37032604217529
2019-11-14, 48.758840560913086
2019-11-15, 48.40552234649658
2019-11-16, 48.43335723876953
2019-11-17, 47.73354721069336
2019-11-18, 47.80309867858887
2019-11-19, 47.421058654785156
2019-11-20, 49.95540523529053
2019-11-21, 49.05532264709473
2019-11-22, 49.120118141174316
2019-11-23, 47.8447847366333
2019-11-24, 48.90261650085449
2019-11-25, 50.71913146972656
2019-11-26, 51.827260971069336
2019-11-27, 51.0802583694458
2019-11-28, 49.935075759887695
2019-11-29, 49.34235763549805
2019-11-30, 49.17588520050049
2019-12-01, 48.77186584472656
2019-12-02, 49.75484848022461
2019-12-03, 49.296552658081055
2019-12-04, 47.86725616455078
2019-12-05, 49.63007926940918
2019-12-06, 48.60337257385254
2019-12-07, 48.88244342803955
2019-12-08, 49.228132247924805
2019-12-09, 49.52094745635986
2019-12-10, 50.279911041259766
2019-12-11, 50.82588863372803
2019-12-12, 50.99330234527588
2019-12-13, 49.672696113586426
2019-12-14, 52.13210582733154
2019-12-15, 54.44973850250244
2019-12-16, 53.23853015899658
2019-12-17, 52.24363708496094
2019-12-18, 50.94245624542236
2019-12-19, 50.841278076171875
2019-12-20, 51.65349578857422
2019-12-21, 51.269646644592285
2019-12-22, 50.926085472106934
2019-12-23, 50.63756561279297
2019-12-24, 51.457186698913574
2019-12-25, 51.39150047302246
2019-12-26, 51.851226806640625
2019-12-27, 52.095614433288574
2019-12-28, 51.33995819091797
2019-12-29, 51.402976989746094
2019-12-30, 51.905221939086914
2019-12-31, 51.82264804840088
2020-01-01, 52.549004554748535
2020-01-02, 52.59895038604736
2020-01-03, 54.564680099487305
2020-01-04, 54.468058586120605
2020-01-05, 54.164082527160645
2020-01-06, 53.11808490753174
2020-01-07, 52.52852535247803
2020-01-08, 51.80301761627197
2020-01-09, 50.959733963012695
2020-01-10, 51.058281898498535
2020-01-11, 49.84084606170654
2020-01-12, 49.71419620513916
2020-01-13, 50.2042350769043
2020-01-14, 51.467082023620605
2020-01-15, 50.3661584854126
2020-01-16, 51.05311393737793
2020-01-17, 51.06617546081543
2020-01-18, 51.401366233825684
2020-01-19, 52.90318012237549
2020-01-20, 52.887855529785156
2020-01-21, 52.02400493621826
2020-01-22, 51.81532573699951
2020-01-23, 51.334089279174805
2020-01-24, 51.151474952697754
2020-01-25, 51.557016372680664
2020-01-26, 52.953707695007324
2020-01-27, 52.11040019989014
2020-01-28, 52.468698501586914
2020-01-29, 52.393954277038574
2020-01-30, 51.15793704986572
2020-01-31, 50.623393058776855
2020-02-01, 51.89691352844238
2020-02-02, 50.25901794433594
2020-02-03, 50.18923568725586
2020-02-04, 49.589598655700684
2020-02-05, 48.51404571533203
2020-02-06, 48.25457000732422
2020-02-07, 48.71599006652832
2020-02-08, 48.557228088378906
2020-02-09, 50.34501647949219
2020-02-10, 49.9366569519043
2020-02-11, 50.14171123504639
2020-02-12, 49.82376956939697
2020-02-13, 49.08243656158447
2020-02-14, 49.50936031341553
2020-02-15, 51.63751697540283
2020-02-16, 50.71963405609131
2020-02-17, 49.91107749938965
2020-02-18, 49.4947566986084
2020-02-19, 48.871076583862305
2020-02-20, 48.66890335083008
2020-02-21, 48.73244094848633
2020-02-22, 49.77181053161621
2020-02-23, 50.31017303466797
2020-02-24, 49.8616828918457
2020-02-25, 50.24992752075195
2020-02-26, 50.602813720703125
2020-02-27, 50.336167335510254
2020-02-28, 48.975348472595215
2020-02-29, 49.75969696044922
2020-03-01, 50.55837059020996
2020-03-02, 51.03332328796387
2020-03-03, 51.361618995666504
2020-03-04, 0.0
2020-03-05, 52.314687728881836
2020-03-06, 52.80194664001465
2020-03-07, 53.85465049743652
2020-03-08, 55.366597175598145
2020-03-09, 56.08207893371582
2020-03-10, 55.00669002532959
2020-03-11, 54.40668964385986
2020-03-12, 53.96468162536621
2020-03-13, 53.72850799560547
2020-03-14, 55.67240333557129
2020-03-15, 53.47207164764404
2020-03-16, 52.39241886138916
2020-03-17, 51.198198318481445
2020-03-18, 50.977885246276855
2020-03-19, 52.40081214904785
2020-03-20, 51.8991584777832
2020-03-21, 51.151302337646484
2020-03-22, 50.13024711608887
2020-03-23, 48.82879447937012
2020-03-24, 49.297964096069336
2020-03-25, 48.4007682800293
2020-03-26, 48.939913749694824
2020-03-27, 48.35475826263428
2020-03-28, 47.94961452484131
2020-03-29, 47.71632957458496
2020-03-30, 47.23299980163574
2020-03-31, 48.15876388549805
