datetime,Minutes_Asleep
2019-11-02,483
2019-11-03,325
2019-11-04,391
2019-11-05,394
2019-11-06,423
2019-11-07,379
2019-11-08,372
2019-11-09,337
2019-11-10,157
2019-11-10,152
2019-11-11,487
2019-11-12,407
2019-11-13,458
2019-11-14,339
2019-11-14,62
2019-11-15,398
2019-11-16,371
2019-11-17,511
2019-11-18,423
2019-11-19,433
2019-11-20,364
2019-11-21,436
2019-11-22,427
2019-11-23,166
2019-11-24,191
2019-11-24,305
2019-11-25,92
2019-11-25,68
2019-11-26,168
2019-11-26,92
2019-11-27,256
2019-11-28,433
2019-11-29,227
2019-11-30,442
2019-12-01,439
2019-12-02,323
2019-12-03,329
2019-12-04,313
2019-12-05,376
2019-12-06,392
2019-12-07,462
2019-12-08,369
2019-12-09,317
2019-12-10,358
2019-12-11,321
2019-12-12,362
2019-12-13,352
2019-12-14,365
2019-12-15,247
2019-12-15,100
2019-12-16,481
2019-12-17,341
2019-12-18,341
2019-12-19,327
2019-12-20,336
2019-12-21,476
2019-12-22,418
2019-12-23,398
2019-12-24,397
2019-12-25,379
2019-12-26,487
2019-12-27,336
2019-12-28,489
2019-12-28,67
2019-12-29,433
2019-12-30,332
2019-12-31,302
2020-01-01,373
2020-01-02,338
2020-01-03,364
2020-01-03,55
2020-01-04,339
2020-01-05,398
2020-01-06,360
2020-01-07,301
2020-01-08,322
2020-01-09,368
2020-01-10,330
2020-01-11,472
2020-01-12,416
2020-01-13,353
2020-01-14,349
2020-01-15,316
2020-01-16,350
2020-01-17,363
2020-01-18,445
2020-01-19,390
2020-01-20,363
2020-01-21,384
2020-01-22,354
2020-01-23,387
2020-01-24,419
2020-01-25,425
2020-01-26,375
2020-01-27,358
2020-01-28,348
2020-01-29,331
2020-01-30,402
2020-01-31,369
2020-02-01,412
2020-02-02,488
2020-02-03,314
2020-02-04,360
2020-02-05,304
2020-02-06,404
2020-02-07,348
2020-02-08,439
2020-02-09,426
2020-02-10,326
2020-02-11,340
2020-02-12,368
2020-02-13,340
2020-02-14,419
2020-02-15,392
2020-02-16,473
2020-02-17,305
2020-02-18,403
2020-02-19,404
2020-02-20,340
2020-02-21,373
2020-02-22,423
2020-02-23,364
2020-02-24,385
2020-02-25,431
2020-02-26,398
2020-02-27,358
2020-02-28,324
2020-02-29,364
2020-02-29,72
2020-03-01,455
2020-03-02,409
2020-03-03,376
2020-03-05,346
2020-03-06,420
2020-03-07,388
2020-03-08,443
2020-03-09,405
2020-03-10,383
2020-03-11,337
2020-03-12,348
2020-03-13,366
2020-03-14,267
2020-03-14,102
2020-03-15,513
2020-03-16,378
2020-03-17,365
2020-03-18,400
2020-03-19,266
2020-03-20,371
2020-03-21,329
2020-03-22,440
2020-03-23,327
2020-03-24,356
2020-03-25,337
2020-03-26,384
2020-03-27,350
2020-03-28,420
2020-03-29,363
2020-03-30,370
2020-03-31,325
