datetime,Minutes_Asleep
2019-11-07,443
2019-11-08,454
2019-11-09,367
2019-11-09,54
2019-11-11,456
2019-11-12,452
2019-11-13,443
2019-11-14,447
2019-11-15,488
2019-11-16,426
2019-11-17,238
2019-11-17,84
2019-11-18,416
2019-11-19,493
2019-11-20,444
2019-11-21,493
2019-11-22,306
2019-11-23,474
2019-11-24,235
2019-11-25,589
2019-11-26,510
2019-11-27,437
2019-11-28,397
2019-11-29,417
2019-11-30,357
2019-12-01,456
2019-12-02,431
2019-12-02,61
2019-12-03,451
2019-12-04,482
2019-12-05,404
2019-12-06,317
2019-12-06,70
2019-12-06,88
2019-12-07,363
2019-12-08,246
2019-12-08,65
2019-12-09,529
2019-12-10,397
2019-12-11,466
2019-12-12,427
2019-12-13,428
2019-12-14,482
2019-12-15,439
2019-12-16,427
2019-12-17,468
2019-12-18,445
2019-12-19,418
2019-12-20,327
2019-12-21,446
2019-12-22,438
2019-12-23,439
2019-12-24,436
2019-12-25,376
2019-12-26,427
2019-12-27,472
2019-12-28,429
2019-12-29,445
2019-12-30,482
2019-12-31,420
2020-01-01,244
2020-01-01,96
2020-01-02,486
2020-01-03,494
2020-01-04,453
2020-01-05,214
2020-01-06,333
2020-01-06,81
2020-01-07,510
2020-01-07,58
2020-01-08,513
2020-01-09,444
2020-01-09,73
2020-01-10,430
2020-01-11,409
2020-01-12,417
2020-01-13,590
2020-01-14,430
2020-01-15,398
2020-01-15,64
2020-01-17,482
2020-01-18,380
2020-01-19,307
2020-01-20,464
2020-01-20,100
2020-01-21,432
2020-01-22,440
2020-01-23,441
2020-01-24,405
2020-01-24,70
2020-01-25,392
2020-01-26,486
2020-01-27,405
2020-01-28,396
2020-01-29,409
2020-01-30,362
2020-01-31,437
2020-02-01,522
2020-02-02,380
2020-02-03,447
2020-02-04,454
2020-02-05,454
2020-02-06,387
2020-02-07,481
2020-02-08,387
2020-02-09,454
2020-02-10,445
2020-02-11,447
2020-02-12,430
2020-02-13,441
2020-02-14,530
2020-02-15,369
2020-02-16,176
2020-02-17,452
2020-02-18,480
2020-02-19,460
2020-02-20,441
2020-02-22,468
2020-02-23,374
2020-02-24,482
2020-02-25,448
2020-02-26,337
2020-02-26,95
2020-02-27,508
2020-02-28,454
2020-02-29,466
2020-03-01,162
2020-03-02,598
2020-03-03,462
2020-03-04,444
2020-03-05,436
2020-03-06,367
2020-03-07,366
2020-03-08,225
2020-03-09,547
2020-03-10,487
2020-03-11,452
2020-03-12,512
2020-03-13,309
2020-03-14,464
2020-03-15,375
2020-03-16,484
2020-03-17,467
2020-03-18,449
2020-03-18,53
2020-03-19,427
2020-03-20,450
2020-03-21,476
2020-03-22,388
2020-03-23,503
2020-03-24,485
2020-03-25,489
2020-03-26,414
2020-03-27,368
2020-03-28,437
2020-03-30,521
2020-03-31,457
