Participant_ID,steps,active_duration,active_heart_rate,distance,calories,resting_heartrate,sleep,Training_Percentage,Daily_Seasonality
p01,69.98,78.17,No Data,inf,80.44,32.76,12.26,80.0,True
p02,121.02,60.8,No Data,inf,69.86,inf,26.49,80.0,True
p03,41.08,31.57,7.54,100.0,44.18,inf,61.36,80.0,True
p04,inf,92.08,14.44,inf,169.64,5.28,24.87,80.0,True
p05,inf,106.12,10.47,100.0,114.77,inf,37.84,80.0,True
p06,inf,171.05,17.02,inf,161.94,inf,37.0,80.0,True
p07,108.44,204.38,16.81,inf,141.75,inf,15.26,80.0,True
p08,inf,59.73,No Data,inf,142.62,inf,13.54,80.0,True
p09,2621.46,2148.46,17.2,100.0,2358.24,inf,27.41,80.0,True
p10,inf,80.44,9.35,inf,191.4,100.0,25.04,80.0,True
p11,203.77,124.99,15.29,inf,162.32,51.24,10.89,80.0,True
p12,239.4,132.24,25.61,100.0,82.32,No Data,3218.07,80.0,True
p13,inf,172.32,15.85,inf,107.09,No Data,31.58,80.0,True
p14,inf,181.04,No Data,inf,122.06,inf,39.92,80.0,True
p15,452.55,524.74,No Data,inf,207.36,inf,50.83,80.0,True
