Participant_ID,Dates,Steps
p02,2020-02-18,11936.0
p02,2020-02-19,18397.0
p02,2020-02-20,22462.0
p02,2020-02-21,6557.0
p02,2020-02-22,1448.0
p02,2020-02-23,12729.0
p02,2020-02-24,6515.0
p02,2020-02-26,10675.0
p02,2020-02-27,23840.0
p02,2020-02-29,20890.0
p02,2020-03-01,5329.0
p02,2020-03-02,15426.0
p02,2020-03-03,18661.0
p02,2020-03-04,11580.0
p02,2020-03-05,8757.0
p02,2020-03-06,8352.0
p02,2020-03-07,6357.0
p02,2020-03-08,3240.0
p02,2020-03-09,18708.0
p02,2020-03-10,4133.0
p02,2020-03-11,12098.0
p02,2020-03-12,5586.0
p02,2020-03-13,6488.0
p02,2020-03-14,10570.0
p02,2020-03-15,10145.0
p02,2020-03-16,8071.0
p02,2020-03-17,11689.0
p02,2020-03-18,10560.0
p02,2020-03-19,13032.0
p02,2020-03-20,9313.0
p02,2020-03-21,4664.0
p02,2020-03-22,9932.0
p02,2020-03-23,12612.0
p02,2020-03-24,6006.0
p02,2020-03-25,7099.0
p02,2020-03-26,2215.0
p02,2020-03-27,8969.0
p02,2020-03-28,4342.0
p02,2020-03-29,11485.0
p02,2020-03-30,13399.0
p02,2020-03-31,2408.0
p03,2019-11-01,3171.0
p03,2019-11-05,2535.0
p03,2019-11-06,1429.0
p03,2019-11-11,3283.0
p03,2019-11-14,3105.0
p03,2019-12-21,1009.0
p03,2019-12-23,1732.0
p03,2019-12-24,1468.0
p03,2019-12-30,4024.0
p03,2020-01-04,3621.0
p03,2020-01-06,3281.0
p03,2020-01-07,2211.0
p03,2020-01-08,2658.0
p03,2020-01-10,3068.0
p03,2020-01-12,3042.0
p03,2020-01-13,4771.0
p03,2020-01-14,2590.0
p03,2020-01-15,2524.0
p03,2020-01-16,2362.0
p03,2020-01-17,2753.0
p03,2020-01-20,5506.0
p03,2020-01-22,4443.0
p03,2020-01-23,2434.0
p03,2020-01-24,2862.0
p03,2020-01-25,1331.0
p03,2020-01-27,1431.0
p03,2020-01-29,3332.0
p03,2020-01-30,3250.0
p03,2020-01-31,6372.0
p03,2020-02-03,3459.0
p03,2020-02-04,2618.0
p03,2020-02-05,5412.0
p03,2020-02-06,6894.0
p03,2020-02-07,5689.0
p03,2020-02-10,2636.0
p03,2020-02-11,2498.0
p03,2020-02-12,3890.0
p03,2020-02-13,1997.0
p03,2020-02-18,2256.0
p03,2020-02-19,2162.0
p03,2020-02-20,2790.0
p03,2020-02-21,2921.0
p03,2020-02-26,2667.0
p03,2020-02-27,2443.0
p03,2020-03-04,2272.0
p03,2020-03-06,1723.0
p03,2020-03-09,2229.0
p04,2019-11-05,0.0
p04,2019-11-06,3236.0
