Participant_ID,Dates,Distance
p02,2020-02-01,0.0
p02,2020-02-02,0.0
p02,2020-02-03,0.0
p02,2020-02-04,0.0
p02,2020-02-05,0.0
p02,2020-02-06,0.0
p02,2020-02-07,0.0
p02,2020-02-08,0.0
p02,2020-02-09,0.0
p02,2020-02-10,0.0
p02,2020-02-11,0.0
p02,2020-02-12,0.0
p02,2020-02-13,0.0
p02,2020-02-14,0.0
p02,2020-02-15,0.900226
p02,2020-02-16,5.567234
p02,2020-02-17,0.0
p02,2020-02-18,0.0
p02,2020-02-19,0.0
p02,2020-02-20,0.0
p02,2020-02-21,0.8250000000000001
p02,2020-02-22,0.0
p02,2020-02-23,0.0
p02,2020-02-24,0.0
p02,2020-02-26,0.0
p02,2020-02-27,9.676679
p02,2020-02-29,0.0
p02,2020-03-01,0.0
p02,2020-03-02,0.0
p02,2020-03-03,8.682789
p02,2020-03-04,0.0
p02,2020-03-05,0.0
p02,2020-03-06,0.0
p02,2020-03-07,0.0
p02,2020-03-08,0.0
p02,2020-03-09,0.0
p02,2020-03-10,0.0
p02,2020-03-11,0.0
p02,2020-03-12,0.0
p02,2020-03-13,0.0
p02,2020-03-14,8.361945
p02,2020-03-15,0.0
p02,2020-03-16,0.0
p02,2020-03-17,0.0
p02,2020-03-18,0.0
p02,2020-03-19,11.090976
p02,2020-03-20,0.0
p02,2020-03-21,0.0
p02,2020-03-22,0.0
p02,2020-03-23,9.549601
p02,2020-03-24,0.0
p02,2020-03-25,0.0
p02,2020-03-26,0.0
p02,2020-03-27,0.0
p02,2020-03-28,0.0
p02,2020-03-29,0.0
p02,2020-03-30,0.0
p02,2020-03-31,0.0
p03,2019-11-01,0.0
p03,2019-11-05,0.0
p03,2019-11-06,0.0
p03,2019-11-11,0.0
p03,2019-11-14,0.0
p03,2019-12-21,0.0
p03,2019-12-23,0.0
p03,2019-12-24,1.554234
p03,2019-12-30,4.018585
p03,2020-01-04,0.0
p03,2020-01-06,0.0
p03,2020-01-07,0.0
p03,2020-01-08,0.0
p03,2020-01-10,0.0
p03,2020-01-12,0.0
p03,2020-01-13,0.0
p03,2020-01-14,0.0
p03,2020-01-15,0.0
p03,2020-01-16,0.0
p03,2020-01-17,0.0
p03,2020-01-20,0.0
p03,2020-01-22,0.0
p03,2020-01-23,0.0
p03,2020-01-24,0.0
p03,2020-01-25,0.0
p03,2020-01-27,0.0
p03,2020-01-29,0.0
p03,2020-01-30,0.0
p03,2020-01-31,0.0
p03,2020-02-03,0.0
p03,2020-02-04,0.0
p03,2020-02-05,0.0
p03,2020-02-06,5.036375
p03,2020-02-07,0.0
p03,2020-02-10,0.0
p03,2020-02-11,0.0
p03,2020-02-12,0.0
p03,2020-02-13,0.0
p03,2020-02-18,0.0
p03,2020-02-19,0.0
p03,2020-02-20,0.0
p03,2020-02-21,0.0
p03,2020-02-26,0.0
p03,2020-02-27,0.0
p03,2020-03-04,0.0
p03,2020-03-06,0.0
p03,2020-03-09,0.0
p04,2019-11-05,0.0
p04,2019-11-06,2.097664
p04,2019-11-07,0.0
p04,2019-11-08,2.662726
p04,2019-11-11,2.549914
p04,2019-11-12,6.641616000000001
p04,2019-11-13,5.602789
p04,2019-11-14,0.0
p04,2019-11-15,0.0
p04,2019-11-17,8.227494
p04,2019-11-18,5.005679
p04,2019-11-19,3.453218
p04,2019-11-20,0.0
p04,2019-11-21,0.0
p04,2019-11-22,2.072632
p04,2019-11-23,0.0
p04,2019-11-24,0.0
p04,2019-11-25,6.447539
p04,2019-11-26,0.0
p04,2019-11-28,5.208515
p04,2019-11-29,0.0
p04,2019-11-30,0.0
p04,2019-12-01,0.0
p04,2019-12-02,4.99407
p04,2019-12-03,0.0
p04,2019-12-05,0.0
p04,2019-12-09,0.0
p04,2019-12-10,1.160765
p04,2019-12-11,0.0
p04,2019-12-12,4.710539
p04,2019-12-14,0.0
p04,2019-12-15,0.0
p04,2019-12-16,10.315599
p04,2019-12-17,4.43432
p04,2019-12-19,0.0
p04,2019-12-20,0.884695
p04,2019-12-21,0.0
p04,2019-12-22,0.0
p04,2019-12-23,8.139062
p04,2019-12-24,0.0
p04,2019-12-25,0.0
p04,2019-12-26,9.672343
p04,2019-12-28,0.0
p04,2019-12-29,0.0
p04,2019-12-30,0.0
p04,2019-12-31,0.0
p04,2020-01-02,5.095273
p04,2020-01-03,4.260101
p04,2020-01-04,0.0
p04,2020-01-06,0.0
p04,2020-01-08,5.447945
p04,2020-01-09,7.230828
p04,2020-01-12,5.30625
p04,2020-01-13,1.736835
p04,2020-01-14,8.047273
p04,2020-01-15,0.0
p04,2020-01-16,0.0
p04,2020-01-17,5.783804
p04,2020-01-19,0.0
p04,2020-01-20,8.255351
p04,2020-01-21,6.264554
p04,2020-01-22,0.0
p04,2020-01-23,5.401078
p04,2020-01-24,8.219476
p04,2020-01-26,0.0
p04,2020-01-27,5.036359
p04,2020-01-28,9.515242
p04,2020-01-30,0.0
p04,2020-01-31,0.0
p04,2020-02-01,5.489039
p04,2020-02-02,0.0
p04,2020-02-03,5.056539
p04,2020-02-04,0.0
p04,2020-02-05,0.0
p04,2020-02-07,0.0
p04,2020-02-09,0.0
p04,2020-02-10,0.0
p04,2020-02-11,0.0
p04,2020-02-12,3.306656
p04,2020-02-15,0.0
p04,2020-02-16,0.0
p04,2020-02-17,4.928359
p04,2020-02-18,0.0
p04,2020-02-20,0.0
p04,2020-02-21,0.0
p04,2020-02-22,0.0
p04,2020-02-24,5.215015
p04,2020-02-26,0.0
p04,2020-02-27,6.347656
p04,2020-02-29,0.0
p04,2020-03-01,0.0
p04,2020-03-03,0.0
p04,2020-03-04,0.0
p04,2020-03-05,0.0
p04,2020-03-06,0.0
p04,2020-03-07,0.0
p04,2020-03-08,1.27083
p04,2020-03-09,4.84689
p04,2020-03-10,3.72082
p04,2020-03-11,0.0
p04,2020-03-13,7.297554
p04,2020-03-14,4.0
p04,2020-03-16,0.0
p04,2020-03-17,0.0
p04,2020-03-18,4.703851
p04,2020-03-19,0.63207
p04,2020-03-20,3.828492
p04,2020-03-22,0.0
p04,2020-03-23,9.720499
p04,2020-03-24,0.0
p04,2020-03-25,6.523976
p04,2020-03-26,7.676882
p04,2020-03-27,0.0
p04,2020-03-28,0.0
p04,2020-03-29,0.0
p04,2020-03-30,0.0
p05,2019-11-01,0.0
p05,2019-11-02,0.0
p05,2019-11-05,0.0
p05,2019-11-07,3.696523
p05,2019-11-09,0.0
p05,2019-11-13,0.0
p05,2019-11-14,0.0
p05,2019-11-15,0.0
p05,2019-11-17,0.0
p05,2019-11-20,0.0
p05,2019-11-22,0.0
p05,2019-11-24,0.0
p05,2019-11-27,0.0
p05,2019-11-29,0.0
p05,2019-11-30,0.0
p05,2019-12-01,0.0
p05,2019-12-04,0.0
p05,2019-12-05,0.0
p05,2019-12-06,0.0
p05,2019-12-08,0.0
p05,2019-12-09,0.0
p05,2019-12-11,0.0
p05,2019-12-12,3.796164
p05,2019-12-13,0.0
p05,2019-12-14,0.0
p05,2019-12-16,0.0
p05,2019-12-17,0.0
p05,2019-12-19,0.0
p05,2019-12-20,0.0
p05,2019-12-21,0.0
p05,2019-12-22,0.0
p05,2019-12-24,0.0
p05,2019-12-30,0.0
p05,2019-12-31,0.0
p05,2020-01-01,0.0
p05,2020-01-02,6.125039
p05,2020-01-03,0.0
p05,2020-01-04,0.0
p05,2020-01-05,4.222773
p05,2020-01-06,0.0
p05,2020-01-07,5.134671
p05,2020-01-08,0.0
p05,2020-01-09,0.0
p05,2020-01-10,0.0
p05,2020-01-12,0.0
p05,2020-01-13,0.0
p05,2020-01-14,0.0
p05,2020-01-15,0.0
p05,2020-01-16,0.0
p05,2020-01-19,0.0
p05,2020-01-20,0.0
p05,2020-01-22,0.0
p05,2020-01-23,0.0
p05,2020-01-24,0.0
p05,2020-01-25,2.750007
p05,2020-01-26,0.0
p05,2020-01-27,0.0
p05,2020-01-28,0.0
p05,2020-01-29,0.0
p05,2020-01-31,0.0
p05,2020-02-01,0.0
p05,2020-02-03,0.0
p05,2020-02-04,0.0
p05,2020-02-05,0.0
p05,2020-02-06,0.0
p05,2020-02-07,0.0
p05,2020-02-13,0.0
p05,2020-02-15,0.0
p05,2020-02-17,0.0
p05,2020-02-18,0.0
p05,2020-02-19,0.0
p05,2020-02-20,0.0
p05,2020-03-07,0.0
p05,2020-03-08,0.0
p05,2020-03-12,0.0
p05,2020-03-13,0.0
p05,2020-03-16,0.0
p05,2020-03-17,0.0
p05,2020-03-18,0.0
p05,2020-03-21,0.0
p05,2020-03-22,0.0
p05,2020-03-23,0.0
p05,2020-03-24,0.0
p05,2020-03-26,0.0
p05,2020-03-28,0.0
p05,2020-03-29,0.0
p06,2019-11-02,5.879976
p06,2019-11-03,0.0
p06,2019-11-04,6.995796
p06,2019-11-05,7.192554
p06,2019-11-06,0.0
p06,2019-11-07,0.0
p06,2019-11-08,0.0
p06,2019-11-11,4.880187
p06,2019-11-12,5.268953
p06,2019-11-13,5.052351
p06,2019-11-14,7.765
p06,2019-11-16,7.1675
p06,2019-11-17,5.002601
p06,2019-11-18,6.998765
p06,2019-11-20,6.697242
p06,2019-11-24,4.541906
p06,2019-11-25,0.0
p06,2019-11-28,0.0
p06,2019-11-30,1.939101
p06,2019-12-01,3.601984
p06,2019-12-04,4.303406
p06,2019-12-09,6.522437
p06,2019-12-14,0.0
p06,2019-12-17,0.0
p06,2019-12-22,4.041523
p06,2019-12-23,0.0
p06,2019-12-24,4.614031
p06,2019-12-29,3.723031
p06,2019-12-30,0.0
p06,2020-01-02,2.512601
p06,2020-01-03,6.200015
p06,2020-01-05,4.673125
p06,2020-01-06,6.189398
p06,2020-01-07,5.607726
p06,2020-01-08,0.0
p06,2020-01-09,0.0
p06,2020-01-10,0.0
p06,2020-01-13,0.0
p06,2020-01-14,2.952125
p06,2020-01-15,2.883421
p06,2020-01-16,0.0
p06,2020-01-17,0.0
p06,2020-01-18,0.0
p06,2020-01-19,4.445648
p06,2020-01-20,0.0
p06,2020-01-21,0.0
p06,2020-01-22,0.0
p06,2020-01-23,0.0
p06,2020-01-25,3.056234
p06,2020-01-26,0.0
p06,2020-01-27,2.880328
p06,2020-01-28,0.256546
p06,2020-01-29,0.0
p06,2020-01-30,1.383601
p06,2020-01-31,3.691617
p06,2020-02-02,0.0
p06,2020-02-03,0.668632
p06,2020-02-04,0.0
p06,2020-02-05,0.911351
p06,2020-02-06,3.376562
p06,2020-02-07,0.0
p06,2020-02-09,3.586781
p06,2020-02-10,0.0
p06,2020-02-11,4.274585
p06,2020-02-13,0.0
p06,2020-02-17,6.200585
p06,2020-02-18,0.0
p06,2020-02-19,0.0
p06,2020-02-20,0.0
p06,2020-02-21,4.34157
p06,2020-02-22,0.0
p06,2020-02-23,0.0
p06,2020-02-24,4.75364
p06,2020-02-25,0.0
p06,2020-02-26,6.00746
p06,2020-02-27,6.288718
p06,2020-02-29,0.0
p06,2020-03-02,0.0
p06,2020-03-03,0.0
p06,2020-03-04,4.555898
p06,2020-03-09,4.197429
p06,2020-03-11,5.055226
p06,2020-03-13,0.0
p06,2020-03-14,0.4699919999999999
p06,2020-03-18,4.348929
p06,2020-03-21,4.321828
p06,2020-03-26,5.013789
p06,2020-03-28,0.0
p06,2020-03-30,5.004812
p07,2019-11-06,0.0
p07,2019-11-07,0.0
p07,2019-11-08,0.0
p07,2019-11-09,0.0
p07,2019-11-11,8.846406
p07,2019-11-13,10.589796
p07,2019-11-14,6.751882
p07,2019-11-15,4.694655
p07,2019-11-16,0.0
p07,2019-11-17,18.431062
p07,2019-11-18,0.0
p07,2019-11-19,3.687085
p07,2019-11-20,11.267054
p07,2019-11-21,6.827867
p07,2019-11-23,3.530226
p07,2019-11-24,15.60307
p07,2019-11-25,8.119531
p07,2019-11-26,6.80646
p07,2019-11-27,9.523554
p07,2019-11-28,5.824562
p07,2019-11-30,0.0
p07,2019-12-01,18.670866
p07,2019-12-02,9.933937
p07,2019-12-03,5.602945
p07,2019-12-04,9.297859
p07,2019-12-05,10.095695
p07,2019-12-06,9.841656
p07,2019-12-07,11.322976
p07,2019-12-08,25.490648
p07,2019-12-09,0.0
p07,2019-12-10,8.292367
p07,2019-12-11,10.788882
p07,2019-12-12,9.341734
