Participant_ID,Dates,Active_Duration_in_mins
p02,2019-12-29,55.48333333333333
p02,2019-12-30,135.45
p02,2020-01-02,42.03333333333333
p02,2020-01-03,68.28333333333333
p02,2020-01-04,150.2
p02,2020-01-05,48.63333333333333
p02,2020-01-06,296.95
p02,2020-01-07,96.75
p02,2020-01-08,190.3
p02,2020-01-09,69.11666666666666
p02,2020-01-10,139.3
p02,2020-01-12,164.06666666666666
p02,2020-01-13,129.1
p02,2020-01-14,148.28333333333333
p02,2020-01-15,233.28333333333333
p02,2020-01-16,116.9
p02,2020-01-17,131.63333333333333
p02,2020-01-18,100.8
p02,2020-01-19,67.4
p02,2020-01-20,94.73333333333332
p02,2020-01-21,198.7333333333333
p02,2020-01-22,154.98333333333335
p02,2020-01-23,66.43333333333334
p02,2020-01-24,153.68333333333334
p02,2020-01-25,19.633333333333333
p02,2020-01-26,17.066666666666666
p02,2020-01-27,220.83333333333331
p02,2020-01-28,122.86666666666667
p02,2020-01-29,133.13333333333333
p02,2020-01-30,163.46666666666667
p02,2020-01-31,86.2
p02,2020-02-01,42.68333333333334
p02,2020-02-02,48.63333333333333
p02,2020-02-03,62.28333333333333
p02,2020-02-04,63.13333333333333
p02,2020-02-05,85.75
p02,2020-02-06,93.01666666666668
p02,2020-02-07,94.71666666666668
p02,2020-02-08,64.85
p02,2020-02-09,16.216666666666665
p02,2020-02-10,59.71666666666667
p02,2020-02-11,174.06666666666666
p02,2020-02-12,180.05
p02,2020-02-13,161.25
p02,2020-02-14,17.066666666666666
p02,2020-02-15,61.81666666666666
p02,2020-02-16,210.36666666666667
p02,2020-02-17,154.18333333333334
p02,2020-02-18,123.73333333333332
p02,2020-02-19,192.0
p02,2020-02-20,226.9833333333333
p02,2020-02-21,139.41666666666666
p02,2020-02-22,21.33333333333333
p02,2020-02-23,106.65
p02,2020-02-24,75.08333333333334
p02,2020-02-26,132.53333333333333
p02,2020-02-27,227.7333333333333
p02,2020-02-29,216.73333333333332
p02,2020-03-01,65.7
p02,2020-03-02,135.06666666666666
p02,2020-03-03,189.4333333333333
p02,2020-03-04,112.65
p02,2020-03-05,108.36666666666667
p02,2020-03-06,95.56666666666666
p02,2020-03-07,70.81666666666666
p02,2020-03-08,47.766666666666666
p02,2020-03-09,157.88333333333333
p02,2020-03-10,44.36666666666667
p02,2020-03-11,120.31666666666666
p02,2020-03-12,58.016666666666666
p02,2020-03-13,90.85
p02,2020-03-14,98.01666666666668
p02,2020-03-15,122.03333333333332
p02,2020-03-16,105.81666666666666
p02,2020-03-17,147.61666666666667
p02,2020-03-18,120.31666666666666
p02,2020-03-19,249.4333333333333
p02,2020-03-20,98.98333333333332
p02,2020-03-21,43.53333333333333
p02,2020-03-22,124.38333333333333
p02,2020-03-23,128.16666666666666
p02,2020-03-24,64.28333333333333
p02,2020-03-25,48.63333333333333
p02,2020-03-26,90.03333333333333
p02,2020-03-27,79.36666666666666
p02,2020-03-28,48.63333333333333
p02,2020-03-29,116.06666666666666
p02,2020-03-30,129.71666666666667
p02,2020-03-31,101.65
p03,2019-11-01,39.25
p03,2019-11-05,32.43333333333333
p03,2019-11-06,15.366666666666667
p03,2019-11-11,36.7
p03,2019-11-14,33.28333333333333
p03,2019-12-21,17.916666666666668
p03,2019-12-23,30.716666666666665
p03,2019-12-24,15.1
p03,2019-12-30,32.43333333333333
p03,2020-01-04,46.08333333333333
p03,2020-01-06,35.0
p03,2020-01-07,21.33333333333333
p03,2020-01-08,29.016666666666666
p03,2020-01-10,40.96666666666667
p03,2020-01-12,32.416666666666664
p03,2020-01-13,48.63333333333333
p03,2020-01-14,29.016666666666666
p03,2020-01-15,24.73333333333333
p03,2020-01-16,24.75
p03,2020-01-17,28.15
p03,2020-01-20,63.13333333333334
p03,2020-01-22,46.083333333333336
p03,2020-01-23,23.9
p03,2020-01-24,29.016666666666666
p03,2020-01-25,17.933333333333334
p03,2020-01-27,16.216666666666665
p03,2020-01-29,37.55
p03,2020-01-30,43.516666666666666
p03,2020-01-31,79.36666666666667
p03,2020-02-03,37.55
p03,2020-02-04,25.616666666666667
p03,2020-02-05,62.31666666666666
p03,2020-02-06,57.68333333333334
p03,2020-02-07,64.86666666666666
p03,2020-02-10,25.6
p03,2020-02-11,25.6
p03,2020-02-12,40.96666666666667
p03,2020-02-13,32.43333333333333
p03,2020-02-18,22.183333333333334
p03,2020-02-19,22.183333333333334
p03,2020-02-20,29.866666666666667
p03,2020-02-21,29.016666666666666
p03,2020-02-26,28.166666666666668
p03,2020-02-27,25.6
p03,2020-03-04,23.883333333333333
p03,2020-03-06,29.866666666666667
p03,2020-03-09,22.2
p04,2019-11-05,50.0
p04,2019-11-06,39.65
p04,2019-11-07,46.3
p04,2019-11-08,48.75
p04,2019-11-11,53.63333333333333
p04,2019-11-12,56.93333333333333
p04,2019-11-13,40.45
p04,2019-11-14,33.9
p04,2019-11-15,52.900000000000006
p04,2019-11-17,77.63333333333333
p04,2019-11-18,34.15
p04,2019-11-19,22.466666666666665
p04,2019-11-20,39.21666666666667
p04,2019-11-21,17.066666666666666
p04,2019-11-22,15.516666666666667
p04,2019-11-23,43.73333333333333
p04,2019-11-24,117.76666666666668
p04,2019-11-25,49.583333333333336
p04,2019-11-26,79.98333333333332
p04,2019-11-28,35.583333333333336
p04,2019-11-29,17.083333333333332
p04,2019-11-30,48.53333333333333
p04,2019-12-01,17.066666666666666
p04,2019-12-02,42.11666666666667
p04,2019-12-03,94.76666666666668
p04,2019-12-05,41.48333333333333
p04,2019-12-09,50.85
p04,2019-12-10,37.98333333333333
p04,2019-12-11,47.8
p04,2019-12-12,39.083333333333336
p04,2019-12-14,120.66666666666669
p04,2019-12-15,16.216666666666665
p04,2019-12-16,74.78333333333333
p04,2019-12-17,46.28333333333333
p04,2019-12-19,51.2
p04,2019-12-20,8.133333333333333
p04,2019-12-21,16.216666666666665
p04,2019-12-22,29.866666666666667
p04,2019-12-23,56.38333333333333
p04,2019-12-24,19.633333333333333
p04,2019-12-25,85.91666666666666
p04,2019-12-26,114.6
p04,2019-12-28,52.2
p04,2019-12-29,54.61666666666667
p04,2019-12-30,59.18333333333333
p04,2019-12-31,17.916666666666668
p04,2020-01-02,45.2
p04,2020-01-03,44.16666666666666
p04,2020-01-04,37.083333333333336
p04,2020-01-06,36.7
p04,2020-01-08,70.73333333333333
p04,2020-01-09,47.31666666666667
p04,2020-01-12,65.98333333333332
p04,2020-01-13,33.2
p04,2020-01-14,46.266666666666666
p04,2020-01-15,71.3
p04,2020-01-16,49.48333333333333
p04,2020-01-17,71.81666666666666
p04,2020-01-19,87.03333333333333
p04,2020-01-20,48.333333333333336
p04,2020-01-21,97.48333333333332
p04,2020-01-22,17.933333333333334
p04,2020-01-23,96.71666666666668
p04,2020-01-24,68.48333333333333
p04,2020-01-26,31.566666666666663
p04,2020-01-27,27.716666666666665
p04,2020-01-28,266.9833333333333
p04,2020-01-30,16.216666666666665
p04,2020-01-31,52.91666666666666
p04,2020-02-01,119.21666666666668
p04,2020-02-02,32.43333333333333
p04,2020-02-03,139.76666666666665
p04,2020-02-04,105.18333333333332
p04,2020-02-05,99.83333333333331
p04,2020-02-07,28.98333333333333
p04,2020-02-09,30.016666666666666
p04,2020-02-10,25.6
p04,2020-02-11,104.1
p04,2020-02-12,57.016666666666666
p04,2020-02-15,44.36666666666667
p04,2020-02-16,31.58333333333333
p04,2020-02-17,31.866666666666667
p04,2020-02-18,27.98333333333333
p04,2020-02-20,38.16666666666666
p04,2020-02-21,27.3
p04,2020-02-22,16.216666666666665
p04,2020-02-24,42.88333333333333
p04,2020-02-26,91.76666666666668
p04,2020-02-27,43.81666666666667
p04,2020-02-29,89.61666666666666
p04,2020-03-01,68.26666666666667
p04,2020-03-03,44.36666666666667
p04,2020-03-04,62.28333333333333
p04,2020-03-05,31.566666666666663
p04,2020-03-06,17.916666666666668
p04,2020-03-07,15.35
p04,2020-03-08,31.08333333333333
p04,2020-03-09,65.7
p04,2020-03-10,128.68333333333334
p04,2020-03-11,46.6
p04,2020-03-13,45.7
p04,2020-03-14,103.0
p04,2020-03-16,45.0
p04,2020-03-17,46.083333333333336
p04,2020-03-18,29.45
p04,2020-03-19,28.28333333333333
p04,2020-03-20,54.48333333333333
p04,2020-03-22,41.81666666666667
p04,2020-03-23,66.81666666666666
p04,2020-03-24,57.45
p04,2020-03-25,45.45
p04,2020-03-26,50.78333333333333
p04,2020-03-27,35.85
p04,2020-03-28,146.08333333333331
p04,2020-03-29,45.23333333333333
p04,2020-03-30,27.316666666666663
p05,2019-11-01,17.916666666666668
p05,2019-11-02,25.6
p05,2019-11-05,20.48333333333333
p05,2019-11-07,90.03333333333333
p05,2019-11-09,15.366666666666667
p05,2019-11-13,36.68333333333333
p05,2019-11-14,65.73333333333333
p05,2019-11-15,54.61666666666667
p05,2019-11-17,40.1
p05,2019-11-20,56.31666666666666
p05,2019-11-22,22.183333333333334
p05,2019-11-24,16.216666666666665
p05,2019-11-27,58.88333333333333
p05,2019-11-29,21.33333333333333
p05,2019-11-30,39.25
p05,2019-12-01,98.13333333333334
p05,2019-12-04,58.86666666666667
p05,2019-12-05,58.88333333333333
p05,2019-12-06,51.2
p05,2019-12-08,33.3
p05,2019-12-09,17.083333333333332
p05,2019-12-11,99.0
p05,2019-12-12,65.01666666666667
p05,2019-12-13,40.1
p05,2019-12-14,17.916666666666668
p05,2019-12-16,40.1
p05,2019-12-17,44.38333333333334
p05,2019-12-19,69.13333333333333
p05,2019-12-20,40.96666666666667
p05,2019-12-21,46.93333333333333
p05,2019-12-22,32.416666666666664
p05,2019-12-24,19.616666666666667
p05,2019-12-30,23.883333333333333
p05,2019-12-31,100.7
p05,2020-01-01,23.9
p05,2020-01-02,77.46666666666667
p05,2020-01-03,91.31666666666666
