logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,source,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,speed,tcxLink,pace,vo2Max,swimLengths,poolLength,poolLengthUnit
26691284104,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 56, 'name': 'very'}]",148.0,674,3431000,3430000,8918.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 1}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 1}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 55}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/13/19 09:54:48,2019-11-13 08:23:15,11/13/19 08:23:15,3431000,38.1,False,False,10.589796,Kilometer,11.114658892128281,,,,,,
26687155743,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 50, 'name': 'very'}]",152.0,596,3012000,3009000,5997.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 12}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 18}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 20}]",11/14/19 17:43:57,2019-11-14 16:49:17,11/14/19 16:49:17,3012000,579.73,False,False,6.751882,Kilometer,8.080881355932204,,,,,,
26727894284,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 19, 'name': 'very'}]",113.0,208,1654000,1654000,1995.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 28}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/14/19 18:49:52,2019-11-14 17:40:46,11/14/19 17:40:46,1654000,0.0,False,False,,,,,,,,,
26736877208,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 28, 'name': 'very'}]",140.0,322,1805000,1803000,3929.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 3}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 9}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 10}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 8}]",11/15/19 14:02:39,2019-11-15 13:27:21,11/15/19 13:27:21,1805000,14.63,False,False,4.38164,Kilometer,8.716053244592345,,,,,,
26730489589,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 3, 'name': 'very'}]",110.0,26,154000,153000,365.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'VO2_MAX', 'HEARTRATE', 'CALORIES', 'ELEVATION', 'STEPS', 'GPS', 'PACE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 3}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/15/19 15:13:27,2019-11-15 14:25:37,11/15/19 14:25:37,154000,0.0,True,True,0.313015,Kilometer,7.318588235294117,https://www.fitbit.com/activities/exercise/26730489589?export=tcx,491.89814814814815,,,,
26733680910,Workout,3000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 16, 'name': 'fairly'}, {'minutes': 118, 'name': 'very'}]",128.0,1189,8117000,8115000,5153.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 99}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 35}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/16/19 12:01:27,2019-11-16 09:39:45,11/16/19 09:39:45,8117000,581.558,False,False,,,,,,,,,
26735308088,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 102, 'name': 'very'}]",145.0,1165,6125000,6123000,16470.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'VO2_MAX', 'HEARTRATE', 'CALORIES', 'ELEVATION', 'STEPS', 'GPS', 'PACE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 30}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 55}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 17}]",11/17/19 11:53:32,2019-11-17 10:04:25,11/17/19 10:04:25,6125000,167.945,False,False,18.431062,Kilometer,10.836570308672218,,332.2084291852945,,,,
26789261161,Workout,3000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 42, 'name': 'very'}]",129.0,439,3009000,3007000,4267.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 1}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 33}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 16}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/18/19 11:54:03,2019-11-18 11:03:21,11/18/19 11:03:21,3009000,113.995,False,False,,,,,,,,,
26810406265,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 20, 'name': 'very'}]",170.0,263,1299000,1184000,3286.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 1}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 5}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 14}]",11/19/19 19:04:08,2019-11-19 18:17:48,11/19/19 18:17:48,1299000,59.741,False,False,3.6870849999999997,Kilometer,11.210716216216216,,,,,,
26850485938,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 14, 'name': 'very'}]",106.0,153,1331000,1331000,2279.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 3}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 19}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/20/19 11:39:18,2019-11-20 11:03:12,11/20/19 11:03:12,1331000,6.096,False,False,,,,,,,,,
