datetime,Minutes_Asleep
2019-11-12,409
2019-11-13,423
2019-11-14,402
2019-11-15,420
2019-11-16,516
2019-11-17,491
2019-11-18,431
2019-11-19,416
2019-11-20,423
2019-11-21,437
2019-11-22,417
2019-11-23,567
2019-11-24,324
2019-11-25,428
2019-11-26,433
2019-11-27,449
2019-11-28,442
2019-11-29,383
2019-11-30,499
2019-12-01,449
2019-12-02,411
2019-12-03,417
2019-12-04,400
2019-12-05,447
2019-12-06,440
2019-12-07,366
2019-12-08,502
2019-12-09,424
2019-12-10,347
2019-12-11,516
2019-12-12,427
2019-12-13,410
2019-12-18,410
2019-12-19,404
2019-12-20,430
2019-12-21,433
2019-12-22,440
2019-12-22,68
2019-12-23,518
2019-12-24,359
2019-12-25,521
2019-12-27,523
2019-12-28,399
2019-12-29,514
2019-12-30,524
2019-12-31,495
2020-01-01,324
2020-01-01,66
2020-01-02,387
2020-01-02,61
2020-01-04,426
2020-01-05,430
2020-01-06,399
2020-01-07,390
2020-01-08,413
2020-01-09,444
2020-01-10,466
2020-01-11,480
2020-01-12,224
2020-01-12,71
2020-01-13,454
2020-01-13,139
2020-01-14,437
2020-01-15,536
2020-01-16,468
2020-01-17,480
2020-01-18,621
2020-01-19,470
2020-01-19,64
2020-01-20,431
2020-01-21,447
2020-01-22,496
2020-01-23,431
2020-01-24,401
2020-01-25,458
2020-01-26,378
2020-01-27,386
2020-01-28,344
2020-01-29,405
2020-01-30,282
2020-01-31,467
2020-02-01,495
2020-02-02,565
2020-02-03,421
2020-02-04,415
2020-02-05,434
2020-02-06,427
2020-02-07,462
2020-02-08,535
2020-02-09,468
2020-02-10,418
2020-02-11,461
2020-02-12,431
2020-02-13,416
2020-02-14,395
2020-02-15,487
2020-02-16,479
2020-02-17,420
2020-02-18,454
2020-02-19,409
2020-02-20,416
2020-02-21,358
2020-02-22,424
2020-02-23,522
2020-02-24,440
2020-02-25,446
2020-02-26,297
2020-02-27,423
2020-02-28,449
2020-02-29,549
2020-03-01,517
2020-03-02,407
2020-03-03,400
2020-03-04,436
2020-03-05,448
2020-03-06,431
2020-03-07,438
2020-03-08,436
2020-03-09,408
2020-03-10,467
2020-03-11,513
2020-03-12,453
2020-03-13,497
2020-03-15,522
2020-03-16,424
2020-03-17,425
2020-03-18,416
2020-03-19,469
2020-03-20,462
2020-03-22,511
2020-03-23,443
2020-03-24,391
2020-03-25,453
2020-03-26,430
2020-03-27,430
2020-03-28,547
2020-03-29,510
2020-03-30,392
2020-03-31,451
