Participant_ID,Dates,Distance
p11,2019-11-15,0.0
p11,2019-11-16,0.0
p11,2019-11-18,4.168117
p11,2019-11-19,0.0
p11,2019-11-20,0.0
p11,2019-11-22,0.0
p11,2019-11-24,7.637601
p11,2019-11-25,0.0
p11,2019-11-26,0.765593
p11,2019-11-27,0.0
p11,2019-11-28,3.473585
p11,2019-11-29,0.0
p11,2019-11-30,0.0
p11,2019-12-02,3.860523
p11,2019-12-03,2.780992
p11,2019-12-04,4.30646
p11,2019-12-07,0.0
p11,2019-12-08,0.0
p11,2019-12-09,0.0
p11,2019-12-14,0.0
p11,2019-12-15,0.0
p11,2019-12-17,3.026273
p11,2019-12-18,0.0
p11,2019-12-23,0.0
p11,2019-12-24,0.0
p11,2019-12-26,0.0
p11,2019-12-29,0.0
p11,2020-01-02,0.0
p11,2020-01-04,0.0
p11,2020-01-06,2.913273
p11,2020-01-09,0.0
p11,2020-01-10,0.0
p11,2020-01-13,2.56546
p11,2020-01-14,0.0
p11,2020-01-15,0.0
p11,2020-01-16,1.652062
p11,2020-01-17,3.962937
p11,2020-01-19,0.0
p11,2020-01-20,0.0
p11,2020-01-21,0.0
p11,2020-01-22,0.0
p11,2020-01-25,4.1431
p11,2020-01-26,14.699999
p11,2020-01-29,0.0
p11,2020-01-30,0.0
p11,2020-02-02,0.0
p11,2020-02-04,1.402156
p11,2020-02-08,1.456015
p11,2020-02-10,0.0
p11,2020-02-12,0.0
p11,2020-02-13,0.0
p11,2020-02-17,0.0
p11,2020-02-18,0.0
p11,2020-02-20,0.0
p11,2020-02-21,4.135382
p11,2020-02-23,0.0
p11,2020-02-24,0.0
p11,2020-02-25,0.0
p11,2020-03-01,0.0
p11,2020-03-11,0.0
p11,2020-03-13,0.0
