logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,source,speed,tcxLink,pace,vo2Max
28384802724,Weights,2131,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 72, 'name': 'very'}]",122.0,743,4777000,4774000,1819.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 1}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 15}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 63}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 1}]",01/27/20 16:20:53,2020-01-27 14:56:34,01/27/20 14:56:34,4777000,7.01,False,False,,,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'HEARTRATE', 'CALORIES']}",,,,
28421290773,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 69, 'name': 'very'}]",142.0,917,6011000,4278000,9965.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 1}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 6}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 27}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 38}]",01/28/20 16:32:35,2020-01-28 14:52:17,01/28/20 14:52:17,6011000,306.324,True,True,5.947078,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",4.919335203366059,https://www.fitbit.com/activities/exercise/28421290773?export=tcx,731.8061996541112,{'vo2Max': 38.96428}
28467956299,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 34, 'name': 'very'}]",124.0,382,2151000,2151000,4008.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 0}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 5}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 20}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 5}]",01/29/20 06:52:18,2020-01-29 06:10:02,01/29/20 06:10:02,2151000,9.144,False,False,,,,,,,
28458004366,Weights,2131,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 57, 'name': 'very'}]",117.0,577,4065000,4063000,1849.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 0}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 27}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 41}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",01/29/20 13:04:23,2020-01-29 11:52:30,01/29/20 11:52:30,4065000,11.278,False,False,,,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'HEARTRATE', 'CALORIES']}",,,,
28512425166,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 86, 'name': 'very'}]",117.0,899,5562000,5559000,8572.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 2}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 31}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 58}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 2}]",01/30/20 12:33:22,2020-01-30 11:00:28,01/30/20 11:00:28,5562000,249.022,True,True,9.520078,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",6.137226119805721,https://www.fitbit.com/activities/exercise/28512425166?export=tcx,586.5842205784592,
28537231022,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 76, 'name': 'very'}]",126.0,829,4730000,4728000,7404.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 1}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 11}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 50}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 16}]",01/31/20 12:00:50,2020-01-31 10:41:50,01/31/20 10:41:50,4730000,200.863,True,True,7.919453,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",5.996611675126903,https://www.fitbit.com/activities/exercise/28537231022?export=tcx,600.3390239411851,
28537824471,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 98, 'name': 'very'}]",124.0,1062,6111000,6108000,9128.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 1}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 26}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 62}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 12}]",02/01/20 11:35:56,2020-02-01 09:53:54,02/01/20 09:53:54,6111000,326.136,True,True,10.282445,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",5.990428290766208,https://www.fitbit.com/activities/exercise/28537824471?export=tcx,600.9587003235023,
28533723267,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 117, 'name': 'very'}]",120.0,1273,7576000,7573000,10972.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 2}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 35}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 81}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 8}]",02/02/20 11:46:14,2020-02-02 09:39:49,02/02/20 09:39:49,7576000,495.3,True,True,11.832335,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",5.596481183150666,https://www.fitbit.com/activities/exercise/28533723267?export=tcx,643.261342651973,
28629959967,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 29, 'name': 'very'}]",98.0,271,2048000,2048000,3784.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 1}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 29}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 0}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/03/20 07:09:34,2020-02-03 06:19:05,02/03/20 06:19:05,2048000,9.144,False,False,,,,,,,
28640061706,Walk,90013,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 13, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 31, 'name': 'very'}]",99.0,374,3072000,3072000,3958.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 5}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 33}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 6}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/03/20 17:26:51,2020-02-03 16:19:03,02/03/20 16:19:03,3072000,60.96,False,False,,,,,,,
