Participant_ID,Dates,Active_Duration_in_mins
p10,2019-11-07,49.03333333333333
p10,2019-11-08,17.916666666666668
p10,2019-11-09,36.016666666666666
p10,2019-11-10,52.333333333333336
p10,2019-11-11,17.933333333333334
p10,2019-11-12,11.5
p10,2019-11-13,40.96666666666667
p10,2019-11-15,19.633333333333333
p10,2019-11-16,46.083333333333336
p10,2019-11-17,17.933333333333334
p10,2019-11-18,25.616666666666667
p10,2019-11-19,29.18333333333333
p10,2019-11-22,64.0
p10,2019-11-23,17.6
p10,2019-11-24,28.166666666666668
p10,2019-11-25,29.866666666666667
p10,2019-11-26,25.0
p10,2019-11-28,37.55
p10,2019-11-29,52.91666666666667
p10,2019-12-02,19.633333333333333
p10,2019-12-03,29.85
p10,2019-12-04,46.93333333333334
p10,2019-12-05,36.7
p10,2019-12-07,27.316666666666666
p10,2019-12-08,71.13333333333333
p10,2019-12-10,35.86666666666667
p10,2019-12-13,145.91666666666666
p10,2019-12-14,110.10000000000001
p10,2019-12-15,17.066666666666666
p10,2019-12-17,29.883333333333333
p10,2019-12-19,74.25
p10,2019-12-20,29.866666666666667
p10,2019-12-21,32.43333333333333
p10,2019-12-22,77.66666666666667
p10,2019-12-24,48.63333333333333
p10,2019-12-28,33.28333333333333
p10,2019-12-30,22.183333333333334
p10,2019-12-31,61.45
p10,2020-01-02,37.55
p10,2020-01-03,48.56666666666667
p10,2020-01-04,129.71666666666667
p10,2020-01-06,29.966666666666665
p10,2020-01-07,29.016666666666666
p10,2020-01-08,18.783333333333335
p10,2020-01-10,17.933333333333334
p10,2020-01-11,69.98333333333333
p10,2020-01-12,45.25
p10,2020-01-13,42.333333333333336
p10,2020-01-14,43.53333333333333
p10,2020-01-16,41.266666666666666
p10,2020-01-17,20.483333333333334
p10,2020-01-18,22.183333333333334
p10,2020-01-20,77.66666666666667
p10,2020-01-21,66.51666666666667
p10,2020-01-22,59.75
p10,2020-01-23,55.46666666666667
p10,2020-01-24,29.033333333333335
p10,2020-01-25,96.43333333333334
p10,2020-01-26,117.76666666666665
p10,2020-01-29,23.05
p10,2020-01-30,82.78333333333333
p10,2020-01-31,44.38333333333333
p10,2020-02-01,168.13333333333333
p10,2020-02-02,95.58333333333333
p10,2020-02-03,20.466666666666665
p10,2020-02-04,18.783333333333335
p10,2020-02-05,46.1
p10,2020-02-07,20.483333333333334
p10,2020-02-09,95.71666666666665
p10,2020-02-10,17.916666666666668
p10,2020-02-12,82.65
p10,2020-02-13,52.916666666666664
p10,2020-02-14,35.85
p10,2020-02-15,130.56666666666666
p10,2020-02-16,63.15
p10,2020-02-17,61.45
p10,2020-02-18,72.06666666666666
p10,2020-02-19,88.75
p10,2020-02-20,32.95
p10,2020-02-21,103.26666666666667
p10,2020-02-22,115.21666666666667
p10,2020-02-23,15.366666666666667
p10,2020-02-25,33.28333333333333
