logId,activityName,activityTypeId,activityLevel,calories,duration,activeDuration,steps,source,logType,manualValuesSpecified,lastModified,startTime,originalStartTime,originalDuration,hasGps,shouldFetchDetails,averageHeartRate,distance,distanceUnit,heartRateZones,speed,elevationGain,tcxLink,pace,vo2Max
28869754656,Treadmill,20049,"[{'minutes': 6, 'name': 'sedentary'}, {'minutes': 21, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 25, 'name': 'very'}]",313,7065000,3421000,3771,"{'type': 'tracker', 'name': 'Versa 2', 'id': '147848006', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'CALORIES', 'HEARTRATE', 'DISTANCE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}",02/12/20 15:50:34,2020-02-12 13:10:57,02/12/20 13:10:57,7065000,False,False,127.0,3.306656,Kilometer,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 3}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 35}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 13}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 6}]",3.481855597778427,67.666,,,
28982518260,Sport,15000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 27, 'name': 'lightly'}, {'minutes': 17, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",173,2662000,2662000,2480,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",02/17/20 07:37:07,2020-02-15 11:01:06,02/15/20 11:01:06,2662000,False,False,103.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 9}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 35}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 0}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,,,,
28982518263,Walk,90013,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 16, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",165,1895000,1895000,3280,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",02/17/20 07:37:08,2020-02-16 13:44:31,02/16/20 13:44:31,1895000,False,False,109.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 0}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 32}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 0}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,30.48,,,
28971968964,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 31, 'name': 'very'}]",241,1967000,1912000,4749,"{'type': 'tracker', 'name': 'Versa 2', 'id': '147848006', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'ELEVATION', 'CALORIES', 'HEARTRATE', 'DISTANCE', 'VO2_MAX', 'GPS', 'PACE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}",02/18/20 05:51:12,2020-02-17 17:44:11,02/17/20 17:44:11,1967000,True,True,145.0,4.928359,Kilometer,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 1}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 7}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 23}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 2}]",9.278698744769875,78.029,https://www.fitbit.com/activities/exercise/28971968964?export=tcx,387.9854383707858,
28980986162,Weights,2131,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 25, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",108,1681000,1679000,533,"{'type': 'tracker', 'name': 'Versa 2', 'id': '147848006', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'CALORIES', 'HEARTRATE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}",02/18/20 16:19:17,2020-02-18 15:50:41,02/18/20 15:50:41,1681000,False,False,117.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 3}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 24}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 1}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,3.9619999999999997,,,
29082807436,Workout,3000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 37, 'name': 'very'}]",260,2292000,2290000,2922,"{'type': 'tracker', 'name': 'Versa 2', 'id': '147848006', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'CALORIES', 'HEARTRATE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}",02/20/20 18:20:48,2020-02-20 17:34:55,02/20/20 17:34:55,2292000,False,False,139.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 0}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 15}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 24}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,118.872,,,
29121387738,Sport,15000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",159,1638000,1638000,1680,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",02/21/20 15:45:20,2020-02-21 14:58:09,02/21/20 14:58:09,1638000,False,False,123.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 0}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 18}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 9}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,,,,
29175249126,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",91,973000,973000,1203,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",02/24/20 06:31:57,2020-02-22 23:10:07,02/22/20 23:10:07,973000,False,False,112.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 2}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 14}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 0}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,48.768,,,
29181128204,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 40, 'name': 'very'}]",300,2578000,2573000,5497,"{'type': 'tracker', 'name': 'Versa 2', 'id': '147848006', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'CALORIES', 'HEARTRATE', 'DISTANCE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}",02/24/20 14:36:16,2020-02-24 13:43:22,02/24/20 13:43:22,2578000,False,False,141.0,5.215015,Kilometer,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 0}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 11}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 32}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",7.270083171395258,46.025,,,
29224710010,Weights,2131,"[{'minutes': 24, 'name': 'sedentary'}, {'minutes': 39, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",232,4382000,4380000,2399,"{'type': 'tracker', 'name': 'Versa 2', 'id': '147848006', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'CALORIES', 'HEARTRATE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}",02/26/20 22:17:34,2020-02-26 12:08:01,02/26/20 12:08:01,4382000,False,False,105.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 34}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 30}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 9}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,34.747,,,
29253918155,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 6, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",108,1126000,1126000,1496,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",02/26/20 22:17:36,2020-02-26 16:53:50,02/26/20 16:53:50,1126000,False,False,101.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 11}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 8}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 0}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,73.152,,,
29256056319,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 45, 'name': 'very'}]",391,2754000,2629000,6732,"{'type': 'tracker', 'name': 'Versa 2', 'id': '147848006', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'ELEVATION', 'CALORIES', 'HEARTRATE', 'DISTANCE', 'VO2_MAX', 'GPS', 'PACE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}",02/27/20 14:53:17,2020-02-27 14:06:25,02/27/20 14:06:25,2754000,True,True,157.0,6.347656,Kilometer,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 0}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 3}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 34}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 7}]",8.561002662609356,125.882,https://www.fitbit.com/activities/exercise/29256056319?export=tcx,420.51149168814015,{'vo2Max': 41.62722}
29320594316,Sport,15000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 50, 'name': 'lightly'}, {'minutes': 13, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",245,3789000,3789000,3630,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",02/29/20 12:10:09,2020-02-29 10:58:26,02/29/20 10:58:26,3789000,False,False,98.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 29}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 34}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 0}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,,,,
29334721598,Aerobic Workout,3001,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 23, 'name': 'very'}]",160,1588000,1588000,2967,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",03/01/20 00:02:53,2020-02-29 23:20:50,02/29/20 23:20:50,1588000,False,False,127.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 0}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 22}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 5}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,,,,
29344120099,Cross Country Skiing,90015,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 22, 'name': 'fairly'}, {'minutes': 41, 'name': 'very'}]",377,4096000,4096000,5994,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",03/01/20 14:13:18,2020-03-01 12:51:31,03/01/20 12:51:31,4096000,False,False,120.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 5}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 57}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 6}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,,,,
29414064517,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 6, 'name': 'lightly'}, {'minutes': 22, 'name': 'fairly'}, {'minutes': 16, 'name': 'very'}]",216,2662000,2662000,4218,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",03/04/20 07:29:20,2020-03-03 12:12:15,03/03/20 12:12:15,2662000,False,False,107.0,,,"[{'name': 'Out of Range', 'min': 30, 'max': 99, 'minutes': 5}, {'name': 'Fat Burn', 'min': 99, 'max': 138, 'minutes': 39}, {'name': 'Cardio', 'min': 138, 'max': 168, 'minutes': 0}, {'name': 'Peak', 'min': 168, 'max': 220, 'minutes': 0}]",,42.672,,,
