datetime,Minutes_Asleep
2019-11-02,303
2019-11-03,224
2019-11-03,98
2019-11-06,332
2019-11-07,323
2019-11-08,365
2019-11-09,357
2019-11-09,83
2019-11-10,362
2019-11-13,281
2019-11-14,339
2019-11-15,435
2019-11-16,342
2019-11-17,376
2019-11-18,319
2019-11-20,420
2019-11-21,420
2019-11-22,378
2019-11-23,445
2019-11-24,387
2019-11-24,63
2019-11-25,381
2019-11-26,351
2019-11-27,388
2019-11-28,445
2019-11-29,426
2019-11-30,405
2019-12-01,319
2019-12-02,361
2019-12-03,259
2019-12-04,302
2019-12-05,363
2019-12-06,401
2019-12-07,279
2019-12-08,311
2019-12-09,617
2019-12-11,299
2019-12-11,76
2019-12-12,353
2019-12-13,453
2019-12-14,390
2019-12-14,95
2019-12-15,319
2019-12-15,118
2019-12-16,417
2019-12-17,382
2019-12-18,280
2019-12-19,358
2019-12-20,368
2019-12-22,284
2019-12-23,360
2019-12-24,328
2019-12-25,530
2019-12-26,388
2019-12-27,628
2019-12-28,426
2019-12-29,253
2019-12-30,403
2019-12-31,341
2020-01-01,280
2020-01-02,408
2020-01-03,398
2020-01-04,282
2020-01-05,326
2020-01-06,385
2020-01-07,357
2020-01-09,368
2020-01-10,363
2020-01-11,326
2020-01-12,387
2020-01-13,329
2020-01-14,398
2020-01-15,362
2020-01-16,434
2020-01-17,322
2020-01-18,374
2020-01-19,372
2020-01-20,330
2020-01-23,370
2020-01-23,64
2020-01-24,398
2020-01-25,326
2020-01-26,376
2020-01-27,362
2020-01-28,380
2020-01-29,351
2020-02-02,442
2020-02-03,271
2020-02-04,464
2020-02-05,393
2020-02-06,269
2020-02-07,420
2020-02-15,313
2020-02-16,300
2020-02-17,398
2020-02-18,385
2020-02-19,389
2020-02-20,359
2020-03-05,68
2020-03-06,334
2020-03-06,136
2020-03-07,341
2020-03-08,335
2020-03-09,460
2020-03-09,87
2020-03-10,421
2020-03-10,71
2020-03-11,338
2020-03-12,347
2020-03-13,381
2020-03-14,324
2020-03-15,353
2020-03-16,374
2020-03-17,404
2020-03-18,360
2020-03-19,361
2020-03-20,397
2020-03-21,355
2020-03-22,396
2020-03-23,415
2020-03-24,353
2020-03-25,433
2020-03-26,346
2020-03-27,424
2020-03-28,382
2020-03-29,285
2020-03-30,476
2020-03-31,345
