Participant_ID,Dates,Steps
p13,2019-11-11,5843.0
p13,2019-11-12,1286.0
p13,2019-11-13,0.0
p13,2019-11-15,2007.0
p13,2019-11-16,6184.0
p13,2019-11-17,2976.0
p13,2019-11-18,2141.0
p13,2019-11-19,1388.0
p13,2019-11-21,4146.0
p13,2019-11-24,4805.0
p13,2019-11-25,646.0
p13,2019-11-26,2810.0
p13,2019-11-28,4215.0
p13,2019-11-30,5266.0
p13,2019-12-13,5164.0
p13,2019-12-14,5224.0
p13,2019-12-15,6215.0
p13,2019-12-19,3846.0
p13,2019-12-20,3047.0
p13,2019-12-21,2216.0
p13,2019-12-22,1846.0
p13,2019-12-23,3752.0
p13,2020-01-02,3223.0
p13,2020-01-06,1999.0
p13,2020-01-07,4080.0
p13,2020-01-25,2758.0
p13,2020-01-26,0.0
p13,2020-02-18,5561.0
p13,2020-03-20,902.0
