datetime,hour,day,month,predictions,Participant_ID
2020-04-01,0,1,4,782.0,p04
2020-04-02,0,2,4,278.0,p04
2020-04-03,0,3,4,482.0,p04
2020-04-04,0,4,4,339.0,p04
2020-04-05,0,5,4,159.0,p04
2020-04-06,0,6,4,308.0,p04
2020-04-07,0,7,4,202.0,p04
2020-04-08,0,8,4,327.0,p04
2020-04-09,0,9,4,342.0,p04
2020-04-10,0,10,4,345.0,p04
2020-04-11,0,11,4,766.0,p04
2020-04-12,0,12,4,459.0,p04
2020-04-13,0,13,4,367.0,p04
2020-04-14,0,14,4,189.0,p04
2020-04-15,0,15,4,177.0,p04
2020-04-16,0,16,4,166.0,p04
2020-04-17,0,17,4,431.0,p04
2020-04-18,0,18,4,489.0,p04
2020-04-19,0,19,4,316.0,p04
2020-04-20,0,20,4,181.0,p04
2020-04-21,0,21,4,241.0,p04
2020-04-22,0,22,4,59.0,p04
2020-04-23,0,23,4,166.0,p04
2020-04-24,0,24,4,234.0,p04
2020-04-25,0,25,4,74.0,p04
2020-04-26,0,26,4,148.0,p04
2020-04-27,0,27,4,377.0,p04
2020-04-28,0,28,4,362.0,p04
2020-04-29,0,29,4,452.0,p04
2020-04-30,0,30,4,65.0,p04
2020-05-01,0,1,5,782.0,p04
2020-05-02,0,2,5,278.0,p04
2020-05-03,0,3,5,482.0,p04
2020-05-04,0,4,5,339.0,p04
2020-05-05,0,5,5,159.0,p04
2020-05-06,0,6,5,308.0,p04
2020-05-07,0,7,5,202.0,p04
2020-05-08,0,8,5,327.0,p04
2020-05-09,0,9,5,342.0,p04
2020-05-10,0,10,5,345.0,p04
2020-05-11,0,11,5,766.0,p04
2020-05-12,0,12,5,459.0,p04
2020-05-13,0,13,5,367.0,p04
2020-05-14,0,14,5,189.0,p04
2020-05-15,0,15,5,177.0,p04
2020-05-16,0,16,5,166.0,p04
2020-05-17,0,17,5,431.0,p04
2020-05-18,0,18,5,489.0,p04
2020-05-19,0,19,5,316.0,p04
2020-05-20,0,20,5,181.0,p04
2020-05-21,0,21,5,241.0,p04
2020-05-22,0,22,5,59.0,p04
2020-05-23,0,23,5,166.0,p04
2020-05-24,0,24,5,234.0,p04
2020-05-25,0,25,5,74.0,p04
2020-05-26,0,26,5,148.0,p04
2020-05-27,0,27,5,377.0,p04
2020-05-28,0,28,5,362.0,p04
2020-05-29,0,29,5,452.0,p04
2020-05-30,0,30,5,65.0,p04
2020-05-31,0,31,5,45.0,p04
2020-06-01,0,1,6,782.0,p04
2020-06-02,0,2,6,278.0,p04
2020-06-03,0,3,6,482.0,p04
2020-06-04,0,4,6,339.0,p04
2020-06-05,0,5,6,159.0,p04
2020-06-06,0,6,6,308.0,p04
2020-06-07,0,7,6,202.0,p04
2020-06-08,0,8,6,327.0,p04
2020-06-09,0,9,6,342.0,p04
2020-06-10,0,10,6,345.0,p04
2020-06-11,0,11,6,766.0,p04
2020-06-12,0,12,6,459.0,p04
2020-06-13,0,13,6,367.0,p04
2020-06-14,0,14,6,189.0,p04
2020-06-15,0,15,6,177.0,p04
2020-06-16,0,16,6,166.0,p04
2020-06-17,0,17,6,431.0,p04
2020-06-18,0,18,6,489.0,p04
2020-06-19,0,19,6,316.0,p04
2020-06-20,0,20,6,181.0,p04
2020-06-21,0,21,6,241.0,p04
2020-06-22,0,22,6,59.0,p04
2020-06-23,0,23,6,166.0,p04
2020-06-24,0,24,6,234.0,p04
2020-06-25,0,25,6,74.0,p04
2020-06-26,0,26,6,148.0,p04
2020-06-27,0,27,6,377.0,p04
2020-06-28,0,28,6,362.0,p04
2020-06-29,0,29,6,452.0,p04
2020-06-30,0,30,6,65.0,p04
2020-07-01,0,1,7,782.0,p04
2020-07-02,0,2,7,278.0,p04
2020-07-03,0,3,7,482.0,p04
2020-07-04,0,4,7,339.0,p04
2020-07-05,0,5,7,159.0,p04
2020-07-06,0,6,7,308.0,p04
2020-07-07,0,7,7,202.0,p04
2020-07-08,0,8,7,327.0,p04
2020-07-09,0,9,7,342.0,p04
2020-07-10,0,10,7,345.0,p04
2020-07-11,0,11,7,766.0,p04
2020-07-12,0,12,7,459.0,p04
2020-07-13,0,13,7,367.0,p04
2020-07-14,0,14,7,189.0,p04
2020-07-15,0,15,7,177.0,p04
2020-07-16,0,16,7,166.0,p04
2020-07-17,0,17,7,431.0,p04
2020-07-18,0,18,7,489.0,p04
2020-07-19,0,19,7,316.0,p04
2020-07-20,0,20,7,181.0,p04
2020-07-21,0,21,7,241.0,p04
2020-07-22,0,22,7,59.0,p04
2020-07-23,0,23,7,166.0,p04
2020-07-24,0,24,7,234.0,p04
2020-07-25,0,25,7,74.0,p04
2020-07-26,0,26,7,148.0,p04
2020-07-27,0,27,7,377.0,p04
2020-07-28,0,28,7,362.0,p04
2020-07-29,0,29,7,452.0,p04
2020-07-30,0,30,7,65.0,p04
2020-07-31,0,31,7,45.0,p04
2020-08-01,0,1,8,794.0,p04
2020-08-02,0,2,8,290.0,p04
2020-08-03,0,3,8,497.0,p04
2020-08-04,0,4,8,354.0,p04
2020-08-05,0,5,8,174.0,p04
2020-08-06,0,6,8,323.0,p04
2020-08-07,0,7,8,217.0,p04
2020-08-08,0,8,8,358.0,p04
2020-08-09,0,9,8,372.0,p04
2020-08-10,0,10,8,376.0,p04
2020-08-11,0,11,8,760.0,p04
2020-08-12,0,12,8,466.0,p04
2020-08-13,0,13,8,408.0,p04
2020-08-14,0,14,8,265.0,p04
2020-08-15,0,15,8,276.0,p04
2020-08-16,0,16,8,296.0,p04
2020-08-17,0,17,8,618.0,p04
2020-08-18,0,18,8,653.0,p04
2020-08-19,0,19,8,561.0,p04
2020-08-20,0,20,8,367.0,p04
2020-08-21,0,21,8,391.0,p04
2020-08-22,0,22,8,276.0,p04
2020-08-23,0,23,8,383.0,p04
2020-08-24,0,24,8,432.0,p04
2020-08-25,0,25,8,245.0,p04
2020-08-26,0,26,8,300.0,p04
2020-08-27,0,27,8,414.0,p04
2020-08-28,0,28,8,513.0,p04
2020-08-29,0,29,8,566.0,p04
2020-08-30,0,30,8,159.0,p04
2020-08-31,0,31,8,139.0,p04
2020-09-01,0,1,9,794.0,p04
2020-09-02,0,2,9,290.0,p04
2020-09-03,0,3,9,497.0,p04
2020-09-04,0,4,9,354.0,p04
2020-09-05,0,5,9,174.0,p04
2020-09-06,0,6,9,323.0,p04
2020-09-07,0,7,9,217.0,p04
2020-09-08,0,8,9,358.0,p04
2020-09-09,0,9,9,372.0,p04
2020-09-10,0,10,9,376.0,p04
2020-09-11,0,11,9,760.0,p04
2020-09-12,0,12,9,466.0,p04
2020-09-13,0,13,9,408.0,p04
2020-09-14,0,14,9,265.0,p04
2020-09-15,0,15,9,276.0,p04
2020-09-16,0,16,9,296.0,p04
2020-09-17,0,17,9,618.0,p04
2020-09-18,0,18,9,653.0,p04
2020-09-19,0,19,9,561.0,p04
2020-09-20,0,20,9,367.0,p04
2020-09-21,0,21,9,391.0,p04
2020-09-22,0,22,9,276.0,p04
2020-09-23,0,23,9,383.0,p04
2020-09-24,0,24,9,432.0,p04
2020-09-25,0,25,9,245.0,p04
2020-09-26,0,26,9,300.0,p04
2020-09-27,0,27,9,414.0,p04
2020-09-28,0,28,9,513.0,p04
2020-09-29,0,29,9,566.0,p04
2020-09-30,0,30,9,159.0,p04
2020-10-01,0,1,10,794.0,p04
2020-10-02,0,2,10,290.0,p04
2020-10-03,0,3,10,497.0,p04
2020-10-04,0,4,10,354.0,p04
2020-10-05,0,5,10,174.0,p04
2020-10-06,0,6,10,323.0,p04
2020-10-07,0,7,10,217.0,p04
2020-10-08,0,8,10,358.0,p04
2020-10-09,0,9,10,372.0,p04
2020-10-10,0,10,10,376.0,p04
2020-10-11,0,11,10,760.0,p04
2020-10-12,0,12,10,466.0,p04
2020-10-13,0,13,10,408.0,p04
2020-10-14,0,14,10,265.0,p04
2020-10-15,0,15,10,276.0,p04
2020-10-16,0,16,10,296.0,p04
2020-10-17,0,17,10,618.0,p04
2020-10-18,0,18,10,653.0,p04
2020-10-19,0,19,10,561.0,p04
2020-10-20,0,20,10,367.0,p04
2020-10-21,0,21,10,391.0,p04
2020-10-22,0,22,10,276.0,p04
2020-10-23,0,23,10,383.0,p04
2020-10-24,0,24,10,432.0,p04
2020-10-25,0,25,10,245.0,p04
2020-10-26,0,26,10,300.0,p04
2020-10-27,0,27,10,414.0,p04
2020-10-28,0,28,10,513.0,p04
2020-10-29,0,29,10,566.0,p04
2020-10-30,0,30,10,159.0,p04
2020-10-31,0,31,10,139.0,p04
2020-11-01,0,1,11,794.0,p04
2020-11-02,0,2,11,290.0,p04
2020-11-03,0,3,11,497.0,p04
2020-11-04,0,4,11,354.0,p04
2020-11-05,0,5,11,174.0,p04
2020-11-06,0,6,11,323.0,p04
2020-11-07,0,7,11,217.0,p04
2020-11-08,0,8,11,358.0,p04
2020-11-09,0,9,11,372.0,p04
2020-11-10,0,10,11,376.0,p04
2020-11-11,0,11,11,760.0,p04
2020-11-12,0,12,11,466.0,p04
2020-11-13,0,13,11,408.0,p04
2020-11-14,0,14,11,265.0,p04
2020-11-15,0,15,11,276.0,p04
2020-11-16,0,16,11,296.0,p04
2020-11-17,0,17,11,618.0,p04
2020-11-18,0,18,11,653.0,p04
2020-11-19,0,19,11,561.0,p04
2020-11-20,0,20,11,367.0,p04
2020-11-21,0,21,11,391.0,p04
2020-11-22,0,22,11,276.0,p04
2020-11-23,0,23,11,383.0,p04
2020-11-24,0,24,11,432.0,p04
2020-11-25,0,25,11,245.0,p04
2020-11-26,0,26,11,300.0,p04
2020-11-27,0,27,11,414.0,p04
2020-11-28,0,28,11,513.0,p04
2020-11-29,0,29,11,566.0,p04
2020-11-30,0,30,11,159.0,p04
2020-12-01,0,1,12,762.0,p04
2020-12-02,0,2,12,318.0,p04
2020-12-03,0,3,12,592.0,p04
2020-12-04,0,4,12,352.0,p04
2020-12-05,0,5,12,156.0,p04
2020-12-06,0,6,12,269.0,p04
2020-12-07,0,7,12,214.0,p04
2020-12-08,0,8,12,206.0,p04
2020-12-09,0,9,12,221.0,p04
2020-12-10,0,10,12,224.0,p04
2020-12-11,0,11,12,608.0,p04
2020-12-12,0,12,12,463.0,p04
2020-12-13,0,13,12,369.0,p04
2020-12-14,0,14,12,299.0,p04
2020-12-15,0,15,12,208.0,p04
2020-12-16,0,16,12,342.0,p04
2020-12-17,0,17,12,618.0,p04
2020-12-18,0,18,12,662.0,p04
2020-12-19,0,19,12,642.0,p04
2020-12-20,0,20,12,448.0,p04
2020-12-21,0,21,12,422.0,p04
2020-12-22,0,22,12,306.0,p04
2020-12-23,0,23,12,329.0,p04
2020-12-24,0,24,12,230.0,p04
2020-12-25,0,25,12,47.0,p04
2020-12-26,0,26,12,102.0,p04
2020-12-27,0,27,12,216.0,p04
2020-12-28,0,28,12,315.0,p04
2020-12-29,0,29,12,324.0,p04
2020-12-30,0,0,0,0.0,p04
2020-12-31,0,0,0,0.0,p04
2021-01-01,0,1,1,843.0,p04
2021-01-02,0,2,1,700.0,p04
2021-01-03,0,3,1,779.0,p04
2021-01-04,0,4,1,280.0,p04
2021-01-05,0,5,1,108.0,p04
2021-01-06,0,6,1,240.0,p04
2021-01-07,0,7,1,79.0,p04
2021-01-08,0,8,1,714.0,p04
2021-01-09,0,9,1,781.0,p04
2021-01-10,0,10,1,781.0,p04
2021-01-11,0,11,1,1065.0,p04
2021-01-12,0,12,1,932.0,p04
2021-01-13,0,13,1,953.0,p04
2021-01-14,0,14,1,684.0,p04
2021-01-15,0,15,1,788.0,p04
2021-01-16,0,16,1,800.0,p04
2021-01-17,0,17,1,1290.0,p04
2021-01-18,0,18,1,1461.0,p04
2021-01-19,0,19,1,1251.0,p04
2021-01-20,0,20,1,1005.0,p04
2021-01-21,0,21,1,1126.0,p04
2021-01-22,0,22,1,805.0,p04
2021-01-23,0,23,1,912.0,p04
2021-01-24,0,24,1,908.0,p04
2021-01-25,0,25,1,726.0,p04
2021-01-26,0,26,1,836.0,p04
2021-01-27,0,27,1,1225.0,p04
2021-01-28,0,28,1,1240.0,p04
2021-01-29,0,29,1,1366.0,p04
2021-01-30,0,30,1,892.0,p04
2021-01-31,0,31,1,873.0,p04
2021-02-01,0,1,2,1579.0,p04
2021-02-02,0,2,2,1097.0,p04
2021-02-03,0,3,2,1307.0,p04
2021-02-04,0,4,2,978.0,p04
2021-02-05,0,5,2,798.0,p04
2021-02-06,0,6,2,892.0,p04
2021-02-07,0,7,2,640.0,p04
2021-02-08,0,8,2,691.0,p04
2021-02-09,0,9,2,726.0,p04
2021-02-10,0,10,2,769.0,p04
2021-02-11,0,11,2,1385.0,p04
2021-02-12,0,12,2,869.0,p04
2021-02-13,0,13,2,666.0,p04
2021-02-14,0,14,2,342.0,p04
2021-02-15,0,15,2,334.0,p04
2021-02-16,0,16,2,346.0,p04
2021-02-17,0,17,2,681.0,p04
2021-02-18,0,18,2,771.0,p04
2021-02-19,0,19,2,578.0,p04
2021-02-20,0,20,2,506.0,p04
2021-02-21,0,21,2,609.0,p04
2021-02-22,0,22,2,366.0,p04
2021-02-23,0,23,2,448.0,p04
2021-02-24,0,24,2,507.0,p04
2021-02-25,0,25,2,347.0,p04
2021-02-26,0,26,2,421.0,p04
2021-02-27,0,27,2,650.0,p04
2021-02-28,0,28,2,635.0,p04
2021-03-01,0,1,3,782.0,p04
2021-03-02,0,2,3,278.0,p04
2021-03-03,0,3,3,482.0,p04
2021-03-04,0,4,3,339.0,p04
2021-03-05,0,5,3,159.0,p04
2021-03-06,0,6,3,308.0,p04
2021-03-07,0,7,3,202.0,p04
2021-03-08,0,8,3,327.0,p04
2021-03-09,0,9,3,342.0,p04
2021-03-10,0,10,3,345.0,p04
2021-03-11,0,11,3,766.0,p04
2021-03-12,0,12,3,459.0,p04
2021-03-13,0,13,3,367.0,p04
2021-03-14,0,14,3,189.0,p04
2021-03-15,0,15,3,177.0,p04
2021-03-16,0,16,3,166.0,p04
2021-03-17,0,17,3,431.0,p04
2021-03-18,0,18,3,489.0,p04
2021-03-19,0,19,3,316.0,p04
2021-03-20,0,20,3,181.0,p04
2021-03-21,0,21,3,241.0,p04
2021-03-22,0,22,3,59.0,p04
2021-03-23,0,23,3,166.0,p04
2021-03-24,0,24,3,234.0,p04
2021-03-25,0,25,3,74.0,p04
2021-03-26,0,26,3,148.0,p04
2021-03-27,0,27,3,377.0,p04
2021-03-28,0,28,3,362.0,p04
2021-03-29,0,29,3,452.0,p04
2021-03-30,0,30,3,65.0,p04
2021-03-31,0,31,3,45.0,p04
2021-04-01,0,1,4,782.0,p04
2021-04-02,0,2,4,278.0,p04
2021-04-03,0,3,4,482.0,p04
2021-04-04,0,4,4,339.0,p04
2021-04-05,0,5,4,159.0,p04
2021-04-06,0,6,4,308.0,p04
2021-04-07,0,7,4,202.0,p04
2021-04-08,0,8,4,327.0,p04
2021-04-09,0,9,4,342.0,p04
2021-04-10,0,10,4,345.0,p04
2021-04-11,0,11,4,766.0,p04
2021-04-12,0,12,4,459.0,p04
2021-04-13,0,13,4,367.0,p04
2021-04-14,0,14,4,189.0,p04
2021-04-15,0,15,4,177.0,p04
2021-04-16,0,16,4,166.0,p04
2021-04-17,0,17,4,431.0,p04
2021-04-18,0,18,4,489.0,p04
2021-04-19,0,19,4,316.0,p04
2021-04-20,0,20,4,181.0,p04
2021-04-21,0,21,4,241.0,p04
2021-04-22,0,22,4,59.0,p04
2021-04-23,0,23,4,166.0,p04
2021-04-24,0,24,4,234.0,p04
2021-04-25,0,25,4,74.0,p04
2021-04-26,0,26,4,148.0,p04
2021-04-27,0,27,4,377.0,p04
2021-04-28,0,28,4,362.0,p04
2021-04-29,0,29,4,452.0,p04
