datetime,Minutes_Asleep
2019-11-07,416
2019-11-08,401
2019-11-09,472
2019-11-10,521
2019-11-11,430
2019-11-11,93
2019-11-12,442
2019-11-13,410
2019-11-13,84
2019-11-14,423
2019-11-15,470
2019-11-16,58
2019-11-16,90
2019-11-17,353
2019-11-18,441
2019-11-19,415
2019-11-20,409
2019-11-21,438
2019-11-21,59
2019-11-22,402
2019-11-23,483
2019-11-23,76
2019-11-24,393
2019-11-25,457
2019-11-26,430
2019-11-27,429
2019-11-27,54
2019-11-28,408
2019-11-28,70
2019-11-29,392
2019-11-30,550
2019-12-01,403
2019-12-01,94
2019-12-02,380
2019-12-03,396
2019-12-04,397
2019-12-05,413
2019-12-06,391
2019-12-06,80
2019-12-07,468
2019-12-08,407
2019-12-09,507
2019-12-10,484
2019-12-11,431
2019-12-13,384
2019-12-14,537
2019-12-15,486
2019-12-16,473
2019-12-16,61
2019-12-17,473
2019-12-18,433
2019-12-19,319
2019-12-19,75
2019-12-20,412
2019-12-20,70
2019-12-21,400
2019-12-22,445
2019-12-23,489
2019-12-24,420
2019-12-25,493
2019-12-26,468
2019-12-27,386
2019-12-28,420
2019-12-29,522
2019-12-30,437
2019-12-31,552
2020-01-01,388
2020-01-01,168
2020-01-02,487
2020-01-03,485
2020-01-04,463
2020-01-04,70
2020-01-05,425
2020-01-05,85
2020-01-06,159
2020-01-08,92
2020-01-09,296
2020-01-09,79
2020-01-10,397
2020-01-11,225
2020-01-11,156
2020-01-12,470
2020-01-13,385
2020-01-13,71
2020-01-14,404
2020-01-15,352
2020-01-15,118
2020-01-16,417
2020-01-16,102
2020-01-17,503
2020-01-18,451
2020-01-18,74
2020-01-19,462
2020-01-20,473
2020-01-21,528
2020-01-22,437
2020-01-22,84
2020-01-22,58
2020-01-23,397
2020-01-24,410
2020-01-25,451
2020-01-26,391
2020-01-26,58
2020-01-27,479
2020-01-28,416
2020-01-28,61
2020-01-29,386
2020-01-30,435
2020-01-31,194
2020-02-01,487
2020-02-01,119
2020-02-02,293
2020-02-03,391
2020-02-04,226
2020-02-05,590
2020-02-06,402
2020-02-07,561
2020-02-08,507
2020-02-09,233
2020-02-10,109
2020-02-10,241
2020-02-10,75
2020-02-11,358
2020-02-11,88
2020-02-12,430
2020-02-12,95
2020-02-13,449
2020-02-14,71
2020-02-14,97
2020-02-14,93
2020-02-15,362
2020-02-16,165
2020-02-17,366
2020-02-18,392
2020-02-19,412
2020-02-20,579
2020-02-21,552
2020-02-22,484
2020-02-23,340
2020-02-24,501
2020-02-25,442
2020-02-26,444
2020-02-27,441
2020-02-28,424
2020-02-29,478
2020-03-01,300
2020-03-01,81
2020-03-02,628
2020-03-02,103
2020-03-02,58
2020-03-03,532
2020-03-04,545
2020-03-05,471
2020-03-06,576
2020-03-07,510
2020-03-08,369
2020-03-09,437
2020-03-10,439
2020-03-11,422
2020-03-12,374
2020-03-13,475
2020-03-14,336
2020-03-15,432
2020-03-15,98
2020-03-16,454
2020-03-17,494
2020-03-18,428
2020-03-19,395
2020-03-20,508
2020-03-21,296
2020-03-21,169
2020-03-22,373
2020-03-23,495
2020-03-24,385
2020-03-25,418
2020-03-25,63
2020-03-26,471
2020-03-27,486
2020-03-28,542
2020-03-29,442
2020-03-30,589
2020-03-31,447
