datetime,hour,day,month,predictions,Participant_ID
2020-04-01,0,1,4,92.0,p05
2020-04-02,0,2,4,92.0,p05
2020-04-03,0,3,4,98.0,p05
2020-04-04,0,4,4,96.0,p05
2020-04-05,0,5,4,96.0,p05
2020-04-06,0,6,4,86.0,p05
2020-04-07,0,7,4,87.0,p05
2020-04-08,0,8,4,87.0,p05
2020-04-09,0,9,4,85.0,p05
2020-04-10,0,10,4,84.0,p05
2020-04-11,0,11,4,84.0,p05
2020-04-12,0,12,4,84.0,p05
2020-04-13,0,13,4,85.0,p05
2020-04-14,0,14,4,85.0,p05
2020-04-15,0,15,4,87.0,p05
2020-04-16,0,16,4,87.0,p05
2020-04-17,0,17,4,86.0,p05
2020-04-18,0,18,4,86.0,p05
2020-04-19,0,19,4,85.0,p05
2020-04-20,0,20,4,86.0,p05
2020-04-21,0,21,4,84.0,p05
2020-04-22,0,22,4,85.0,p05
2020-04-23,0,23,4,84.0,p05
2020-04-24,0,24,4,83.0,p05
2020-04-25,0,25,4,84.0,p05
2020-04-26,0,26,4,88.0,p05
2020-04-27,0,27,4,81.0,p05
2020-04-28,0,28,4,82.0,p05
2020-04-29,0,29,4,84.0,p05
2020-04-30,0,30,4,84.0,p05
2020-05-01,0,1,5,92.0,p05
2020-05-02,0,2,5,92.0,p05
2020-05-03,0,3,5,98.0,p05
2020-05-04,0,4,5,96.0,p05
2020-05-05,0,5,5,96.0,p05
2020-05-06,0,6,5,86.0,p05
2020-05-07,0,7,5,87.0,p05
2020-05-08,0,8,5,87.0,p05
2020-05-09,0,9,5,85.0,p05
2020-05-10,0,10,5,84.0,p05
2020-05-11,0,11,5,84.0,p05
2020-05-12,0,12,5,84.0,p05
2020-05-13,0,13,5,85.0,p05
2020-05-14,0,14,5,85.0,p05
2020-05-15,0,15,5,87.0,p05
2020-05-16,0,16,5,87.0,p05
2020-05-17,0,17,5,86.0,p05
2020-05-18,0,18,5,86.0,p05
2020-05-19,0,19,5,85.0,p05
2020-05-20,0,20,5,86.0,p05
2020-05-21,0,21,5,84.0,p05
2020-05-22,0,22,5,85.0,p05
2020-05-23,0,23,5,84.0,p05
2020-05-24,0,24,5,83.0,p05
2020-05-25,0,25,5,84.0,p05
2020-05-26,0,26,5,88.0,p05
2020-05-27,0,27,5,81.0,p05
2020-05-28,0,28,5,82.0,p05
2020-05-29,0,29,5,84.0,p05
2020-05-30,0,30,5,84.0,p05
2020-05-31,0,31,5,93.0,p05
2020-06-01,0,1,6,92.0,p05
2020-06-02,0,2,6,92.0,p05
2020-06-03,0,3,6,98.0,p05
2020-06-04,0,4,6,96.0,p05
2020-06-05,0,5,6,96.0,p05
2020-06-06,0,6,6,86.0,p05
2020-06-07,0,7,6,87.0,p05
2020-06-08,0,8,6,87.0,p05
2020-06-09,0,9,6,85.0,p05
2020-06-10,0,10,6,84.0,p05
2020-06-11,0,11,6,84.0,p05
2020-06-12,0,12,6,84.0,p05
2020-06-13,0,13,6,85.0,p05
2020-06-14,0,14,6,85.0,p05
2020-06-15,0,15,6,87.0,p05
2020-06-16,0,16,6,87.0,p05
2020-06-17,0,17,6,86.0,p05
2020-06-18,0,18,6,86.0,p05
2020-06-19,0,19,6,85.0,p05
2020-06-20,0,20,6,86.0,p05
2020-06-21,0,21,6,84.0,p05
2020-06-22,0,22,6,85.0,p05
2020-06-23,0,23,6,84.0,p05
2020-06-24,0,24,6,83.0,p05
2020-06-25,0,25,6,84.0,p05
2020-06-26,0,26,6,88.0,p05
2020-06-27,0,27,6,81.0,p05
2020-06-28,0,28,6,82.0,p05
2020-06-29,0,29,6,84.0,p05
2020-06-30,0,30,6,84.0,p05
2020-07-01,0,1,7,92.0,p05
2020-07-02,0,2,7,92.0,p05
2020-07-03,0,3,7,98.0,p05
2020-07-04,0,4,7,96.0,p05
2020-07-05,0,5,7,96.0,p05
2020-07-06,0,6,7,86.0,p05
2020-07-07,0,7,7,87.0,p05
2020-07-08,0,8,7,87.0,p05
2020-07-09,0,9,7,85.0,p05
2020-07-10,0,10,7,84.0,p05
2020-07-11,0,11,7,84.0,p05
2020-07-12,0,12,7,84.0,p05
2020-07-13,0,13,7,85.0,p05
2020-07-14,0,14,7,85.0,p05
